N	2gram	Bakhtin_Pr_3	KFilosof
1	может быть	12	43
2	в его	8	39
3	в нем	10	31
4	не может	2	27
5	и не	15	26
6	по отношению	2	25
7	и в	53	22
8	в себе	5	21
9	в ее	3	17
10	а не	11	17
11	и его	10	17
12	только в	4	16
13	точки зрения	4	13
14	в этом	8	13
15	но не	5	12
16	и это	3	12
17	все эти	9	11
18	в своей	3	11
19	не в	2	11
20	это не	6	10
21	все это	8	10
22	во всех	12	10
23	с точки	2	10
24	но и	7	9
25	в их	2	9
26	как бы	14	9
27	и все	10	9
28	бытия и	2	9
29	и для	4	9
30	не было	4	8
31	было бы	5	8
32	жизни и	9	8
33	на основе	2	7
34	во всем	2	7
35	вовсе не	3	7
36	конечно не	4	7
37	что и	3	7
38	то что	9	7
39	в себя	6	7
40	быть только	2	7
41	я не	4	6
42	в смысле	2	6
43	в том	14	6
44	но это	3	6
45	отношение к	6	6
46	в мире	5	6
47	и их	2	6
48	он не	3	6
49	менее всего	2	6
50	никогда не	2	5
51	хотя бы	2	5
52	то же	6	5
53	именно в	2	5
54	в основе	5	5
55	его в	2	5
56	с ним	2	5
57	но в	5	5
58	не знает	4	5
59	жизни в	3	5
60	как и	11	5
61	что я	2	5
62	не только	4	5
63	жизни как	4	5
64	времени и	2	4
65	место в	2	4
66	что в	2	4
67	здесь мы	2	4
68	при этом	3	4
69	в своих	2	4
70	между тем	2	4
71	мира и	2	4
72	том что	5	4
73	во всей	4	4
74	а в	2	4
75	и т.д	2	4
76	что это	2	3
77	не менее	3	3
78	в каждом	4	3
79	на язык	4	3
80	и тем	2	3
81	и на	18	3
82	в ней	7	3
83	в то	5	3
84	о том	2	3
85	но здесь	2	3
86	мы не	4	3
87	от него	3	3
88	по своему	6	3
89	еще не	5	3
90	не могу	3	3
91	быть и	2	3
92	тем что	2	3
93	могут быть	4	3
94	и жизни	2	3
95	здесь не	4	3
96	ничего не	6	3
97	прежде всего	15	2
98	тем не	2	2
99	и конечно	2	2
100	соответствии с	2	2
101	же время	5	2
102	не о	2	2
103	себя и	2	2
104	и других	9	2
105	для этой	2	2
106	потому что	5	2
107	к себе	6	2
108	говорить о	2	2
109	и под	3	2
110	в сознании	2	2
111	с его	2	2
112	в жизни	8	2
113	к этому	4	2
114	что он	4	2
115	конечно в	2	2
116	и смерти	2	2
117	в соответствии	2	2
118	жить и	4	2
119	тот же	2	2
120	и тот	3	2
121	со всеми	8	2
122	и потому	5	2
123	так и	6	2
124	как в	7	2
125	еще более	5	2
126	мы здесь	3	2
127	человек и	2	2
128	всей своей	2	2
129	в области	3	2
130	а для	2	2
