N	2gram	Vinokur_St_2	Poddanst
1	не только	19	17
2	и в	29	14
3	и не	9	12
4	в области	2	11
5	в отношении	2	10
6	в этом	21	10
7	то же	2	9
8	в том	27	9
9	в качестве	5	9
10	но в	8	9
11	хотя бы	3	8
12	в то	2	7
13	только в	2	7
14	но и	19	6
15	в ней	7	6
16	xix века	3	6
17	было бы	5	6
18	с другой	4	5
19	не в	4	5
20	и пр	8	5
21	отношении к	3	5
22	и о	4	5
23	может быть	2	5
24	в котором	7	4
25	то что	11	4
26	что в	19	4
27	если бы	2	4
28	в своем	9	4
29	не может	2	4
30	но также	4	4
31	по себе	3	4
32	и к	4	4
33	том что	27	4
34	в русской	5	4
35	а также	2	4
36	как бы	5	4
37	и потому	2	4
38	сами по	2	3
39	в нем	4	3
40	и т	9	3
41	с тем	7	3
42	в россии	3	3
43	т е	10	3
44	прежде всего	5	3
45	для того	7	3
46	с точки	2	3
47	сравнении с	2	3
48	и как	2	3
49	между тем	5	3
50	но не	3	3
51	точки зрения	5	3
52	в себе	2	3
53	потому что	9	3
54	хотя и	4	3
55	не менее	3	2
56	сомнения что	3	2
57	не к	2	2
58	именно в	4	2
59	в частности	4	2
60	со стороны	2	2
61	в них	2	2
62	все это	11	2
63	х и	2	2
64	как раз	8	2
65	не столько	7	2
66	с этим	3	2
67	между прочим	12	2
68	еще более	4	2
69	в значительной	2	2
70	а не	5	2
71	бы ни	2	2
72	того что	5	2
73	в которую	2	2
74	в ее	2	2
75	как на	9	2
76	не было	3	2
77	в начале	3	2
78	из них	3	2
79	в общем	3	2
80	например в	3	2
81	и это	2	2
82	в полной	2	2
83	в статье	2	2
84	никак не	2	2
85	в эту	3	2
86	в сочетании	2	2
87	в его	13	2
88	и с	4	2
