N	2gram	Bakhtin_sl_1	VerxiiNi
1	и в	41	26
2	таким образом	9	22
3	в этом	12	15
4	точки зрения	16	13
5	как бы	12	12
6	в том	3	11
7	может быть	14	10
8	не только	16	10
9	и с	4	10
10	из этих	3	10
11	связи с	2	9
12	но и	16	9
13	так как	3	9
14	с другой	5	8
15	но не	2	8
16	и не	16	8
17	и у	2	8
18	связанные с	3	7
19	том что	2	7
20	одной стороны	4	7
21	из них	3	7
22	к нему	5	7
23	а с	2	7
24	с одной	4	7
25	потому что	2	7
26	но в	8	7
27	к тому	3	6
28	и потому	4	6
29	того же	6	6
30	всяком случае	5	6
31	все же	7	6
32	так и	11	6
33	все это	5	6
34	в отношении	6	6
35	все эти	9	6
36	с точки	8	6
37	во всяком	7	6
38	в себе	3	6
39	о том	3	6
40	образом в	3	5
41	и к	5	5
42	отношение к	7	5
43	до сих	2	5
44	одной из	3	5
45	друг с	2	5
46	в его	13	5
47	никогда не	3	5
48	с другом	2	5
49	сих пор	2	5
50	или менее	3	5
51	так же	2	5
52	лишь в	4	5
53	а не	15	5
54	для того	2	5
55	и для	4	5
56	более или	3	5
57	в этих	2	4
58	и от	4	4
59	что все	2	4
60	в нем	30	4
61	в смысле	4	4
62	в самом	5	4
63	в котором	2	4
64	не может	14	4
65	а в	6	4
66	то же	14	4
67	и по	2	4
68	с другими	5	4
69	в виде	2	4
70	он не	3	4
71	в то	14	4
72	только в	6	4
73	то есть	26	4
74	далеко не	5	4
75	же как	2	3
76	но по	2	3
77	хотя бы	3	3
78	к этому	2	3
79	можно сказать	2	3
80	для него	3	3
81	так что	2	3
82	в своем	3	3
83	в качестве	3	3
84	и о	2	3
85	с ней	2	3
86	при этом	6	3
87	уже не	2	3
88	того что	3	3
89	и даже	6	3
90	в которой	4	3
91	и те	2	3
92	у них	2	3
93	с этой	3	3
94	в результате	3	3
95	в других	3	3
96	в одном	2	3
97	не исчерпывается	2	2
98	есть как	3	2
99	не могут	3	2
100	с его	4	2
101	ни было	2	2
102	он в	5	2
103	именно в	3	2
104	связанных с	4	2
105	перестает быть	2	2
106	связана с	2	2
107	в них	6	2
108	не как	4	2
109	и мир	5	2
110	на все	2	2
111	прежде всего	8	2
112	из своих	2	2
113	в свою	3	2
114	или иной	9	2
115	исторического развития	2	2
116	а также	2	2
117	и здесь	3	2
118	по существу	3	2
119	по своему	2	2
120	же время	12	2
121	еще не	4	2
122	они в	2	2
123	конечно не	3	2
124	той или	9	2
125	и проч	2	2
126	не могло	3	2
127	один из	4	2
128	не с	2	2
129	во всех	17	2
130	в процессе	4	2
131	быть и	4	2
132	связь с	2	2
133	по своим	6	2
134	в разных	3	2
135	не было	3	2
136	одновременно и	2	2
137	те же	2	2
138	между этими	2	2
139	одним из	4	2
140	не должны	2	2
141	наконец в	2	2
142	и заставляет	2	2
143	и на	14	2
144	сказать что	2	2
145	не в	7	2
146	различия между	2	2
147	и наконец	4	2
148	тем и	2	2
149	не могла	2	2
150	и все	4	2
151	которые в	3	2
152	из этого	3	2
153	в эту	2	2
154	между тем	2	2
155	из него	2	2
