N	2gram	Bakhtin_Fr_2	Literetu
1	и в	49	19
2	может быть	5	17
3	то же	7	12
4	и не	15	11
5	и т.п	11	10
6	в том	3	10
7	как и	11	10
8	но и	13	10
9	же время	6	9
10	такого рода	2	9
11	не может	7	9
12	в мире	2	9
13	в этом	15	9
14	в то	6	9
15	с другой	4	8
16	не только	17	8
17	и даже	2	8
18	том что	4	7
19	то что	6	7
20	так и	6	7
21	с одной	3	7
22	и т.д	2	7
23	в себе	4	6
24	одной стороны	3	6
25	при этом	5	6
26	и на	17	6
27	одна из	4	5
28	но не	5	5
29	в качестве	2	5
30	на фоне	2	5
31	вместе с	2	5
32	так в	3	5
33	в году	13	5
34	то есть	32	5
35	что в	2	4
36	жизни в	3	4
37	прежде всего	19	4
38	для него	9	4
39	в ней	2	4
40	в его	18	4
41	еще в	2	4
42	даже в	3	4
43	один из	7	4
44	жизни и	7	4
45	и других	3	4
46	другой стороны	3	4
47	тем что	4	4
48	точки зрения	6	4
49	в области	4	4
50	перестает быть	2	3
51	никогда не	5	3
52	в себя	6	3
53	что он	3	3
54	в нем	9	3
55	по существу	2	3
56	одним из	2	3
57	но это	2	3
58	в начале	5	3
59	в этой	10	3
60	в сущности	8	3
61	во всех	6	3
62	вплоть до	2	3
63	и др	9	3
64	себе и	2	3
65	в их	2	3
66	этом отношении	3	3
67	так как	6	3
68	с точки	5	3
69	как на	4	3
70	а в	4	3
71	и его	17	3
72	и с	6	3
73	как к	2	3
74	в другом	2	3
75	ничего не	2	3
76	уже в	5	2
77	не было	4	2
78	у него	2	2
79	в нашем	2	2
80	в них	13	2
81	в противоположность	2	2
82	в конце	2	2
83	в виду	3	2
84	в одном	3	2
85	в жизни	4	2
86	вовсе не	10	2
87	и к	4	2
88	в ее	3	2
89	а затем	3	2
90	сила и	2	2
91	ко всему	2	2
92	все что	2	2
93	и без	2	2
94	до конца	2	2
95	тот же	5	2
96	еще не	2	2
97	было бы	3	2
98	одной из	2	2
99	свое время	3	2
100	наконец в	3	2
101	как бы	11	2
102	в свое	4	2
103	все же	7	2
104	с ее	3	2
105	же в	3	2
106	из них	3	2
107	могут быть	2	2
108	по преимуществу	2	2
109	и за	2	2
110	в истории	6	2
111	и до	4	2
112	на первом	3	2
113	в своих	4	2
114	даже и	2	2
115	подобно тому	2	2
116	под названием	2	2
117	и еще	2	2
118	о том	3	2
119	в художественном	2	2
120	тому как	2	2
121	с ним	4	2
122	в него	2	2
123	но в	4	2
