N	2gram	Tiupa_Narr_1	VerxiiNi
1	и в	11	26
2	вместе с	2	15
3	в этом	12	15
4	точки зрения	5	13
5	как бы	6	12
6	в том	8	11
7	после смерти	2	10
8	может быть	15	10
9	не только	31	10
10	и с	3	10
11	из этих	4	10
12	связи с	2	9
13	что в	3	9
14	но и	27	9
15	в области	2	9
16	с другой	2	8
17	но не	4	8
18	и не	23	8
19	том что	7	7
20	из них	4	7
21	к нему	4	7
22	то что	9	7
23	потому что	5	7
24	но в	7	7
25	в конце	2	6
26	к тому	6	6
27	всяком случае	2	6
28	все же	4	6
29	так и	5	6
30	во всяком	2	6
31	в себе	6	6
32	и т.д	6	6
33	о том	4	6
34	тому же	6	5
35	до сих	2	5
36	в его	6	5
37	никогда не	4	5
38	к жизни	2	5
39	сих пор	2	5
40	лишь в	3	5
41	а не	13	5
42	того чтобы	4	5
43	для того	3	5
44	не имеет	2	5
45	и для	2	5
46	в мире	4	5
47	в этих	2	4
48	и от	2	4
49	что он	3	4
50	в нем	4	4
51	в самом	6	4
52	не может	8	4
53	и только	2	4
54	а в	13	4
55	то же	8	4
56	и тогда	2	4
57	он не	3	4
58	в то	4	4
59	только в	12	4
60	то есть	9	4
61	в этой	6	4
62	не менее	3	3
63	если бы	7	3
64	хотя бы	2	3
65	можно сказать	5	3
66	для него	4	3
67	и как	3	3
68	представляет собой	8	3
69	в своем	3	3
70	в качестве	14	3
71	и о	3	3
72	к ним	2	3
73	не вполне	2	3
74	если в	2	3
75	тем не	3	3
76	отношению к	3	3
77	в связи	2	3
78	при этом	19	3
79	уже не	8	3
80	того что	4	3
81	и даже	2	3
82	в таком	2	3
83	в результате	2	3
84	в одном	4	3
85	начиная с	3	2
86	с его	4	2
87	именно в	3	2
88	состоит в	10	2
89	но при	3	2
90	прежде всего	4	2
91	не всегда	3	2
92	в свою	2	2
93	на то	2	2
94	или иной	4	2
95	ему в	2	2
96	а также	6	2
97	к его	2	2
98	в начале	3	2
99	по своему	2	2
100	все что	2	2
101	же время	4	2
102	что мы	2	2
103	еще не	4	2
104	вплоть до	4	2
105	той или	5	2
106	и является	2	2
107	не могло	2	2
108	один из	6	2
109	жизни и	6	2
110	быть и	2	2
111	заключает в	2	2
112	по своим	2	2
113	только что	2	2
114	особенно в	2	2
115	не было	3	2
116	если не	2	2
117	этом отношении	3	2
118	мы имеем	3	2
119	в глазах	3	2
120	друг на	2	2
121	и на	5	2
122	сказать что	2	2
123	не в	6	2
124	мы можем	2	2
125	на друга	2	2
126	не могла	2	2
127	и после	2	2
128	же самое	2	2
129	и все	3	2
130	между тем	3	2
