N	2gram	Propp_Isto_7	VrazhdaK
1	не только	21	9
2	в этом	12	8
3	и что	10	8
4	и в	24	8
5	но и	11	7
6	что в	13	7
7	то что	7	7
8	и все	6	7
9	в котором	2	6
10	в нем	6	6
11	все же	9	6
12	и даже	3	6
13	как и	6	6
14	но в	5	6
15	то же	8	5
16	и не	4	5
17	у него	10	5
18	об этом	6	5
19	в то	2	5
20	уже в	3	4
21	для нас	6	4
22	как бы	4	4
23	все это	8	4
24	это не	10	4
25	что он	21	4
26	так же	6	4
27	с ним	5	4
28	может быть	14	4
29	при этом	4	4
30	о том	9	4
31	с его	3	3
32	связи с	3	3
33	что у	4	3
34	в связи	2	3
35	в конце	3	3
36	т е	16	3
37	к этому	2	3
38	на то	3	3
39	и у	2	3
40	в том	7	3
41	и его	3	3
42	том что	10	3
43	тем что	6	3
44	в русской	5	3
45	его в	3	3
46	но он	2	3
47	и о	2	3
48	в чем	5	3
49	он не	6	3
50	после смерти	3	2
51	и это	2	2
52	после этого	3	2
53	из них	2	2
54	не менее	5	2
55	никогда не	4	2
56	вместе с	7	2
57	в них	3	2
58	так в	4	2
59	не может	14	2
60	а в	10	2
61	тогда как	3	2
62	таким образом	7	2
63	в одну	2	2
64	но это	3	2
65	там же	2	2
66	уже не	2	2
67	к себе	3	2
68	на первый	4	2
69	и он	3	2
70	мы знаем	2	2
71	тем более	2	2
72	об этой	2	2
73	же как	4	2
74	точки зрения	4	2
75	и ее	2	2
76	и стал	3	2
77	отношение к	5	2
78	еще не	8	2
79	во время	6	2
80	довольно много	2	2
81	его на	2	2
82	при помощи	3	2
83	ответ на	6	2
84	одна из	7	2
85	к ним	2	2
86	в русских	2	2
