N	2gram	Losev_Dial_4	EvropaiC
1	таким образом	5	32
2	в том	11	31
3	и в	15	24
4	том что	10	20
5	все эти	3	19
6	не может	11	18
7	то что	16	17
8	может быть	17	15
9	все же	2	15
10	точки зрения	14	13
11	в своем	5	12
12	в этом	11	12
13	все это	9	11
14	с этим	3	11
15	как бы	14	10
16	все что	2	10
17	во всех	2	10
18	так и	5	10
19	на то	5	9
20	при этом	2	9
21	в результате	6	9
22	как и	7	9
23	что в	7	9
24	не в	8	8
25	в самом	2	8
26	так же	4	8
27	если бы	6	8
28	и все	11	8
29	ясно что	11	8
30	идет речь	4	8
31	с точки	9	8
32	не менее	2	7
33	для этого	2	7
34	но и	4	7
35	и не	30	7
36	и что	9	7
37	из этих	2	7
38	о том	5	7
39	что он	7	7
40	в силу	4	7
41	того чтобы	5	7
42	для того	5	7
43	должна быть	7	6
44	так что	6	6
45	в этой	4	6
46	того что	13	6
47	и на	5	6
48	так как	14	6
49	с ним	3	6
50	и при	2	6
51	еще не	4	6
52	что и	6	6
53	мы можем	3	6
54	только в	7	6
55	вместе с	2	6
56	именно в	5	5
57	что это	13	5
58	и без	2	5
59	на все	2	5
60	что все	4	5
61	в пользу	2	5
62	что с	2	5
63	и их	2	5
64	другой стороны	2	5
65	и с	4	5
66	потому что	10	5
67	между собою	2	5
68	но в	3	5
69	сравнению с	2	5
70	к этому	3	5
71	в то	6	5
72	и если	3	5
73	в его	4	5
74	не только	8	5
75	не будет	2	5
76	по сравнению	2	5
77	быть и	3	5
78	и для	5	5
79	но все	2	5
80	лишь в	2	5
81	в себе	8	5
82	как будто	2	5
83	и истории	3	5
84	в которой	2	5
85	не могут	2	4
86	никогда не	2	4
87	та же	3	4
88	чем больше	2	4
89	тем не	2	4
90	это есть	13	4
91	хотя и	6	4
92	из них	2	4
93	в их	3	4
94	должно быть	2	4
95	без того	3	4
96	и то	3	4
97	в одну	3	4
98	данный момент	2	4
99	ни один	2	4
100	мы должны	4	4
101	мы уже	3	4
102	не есть	40	4
103	оказывается что	4	4
104	что эта	2	4
105	совершенно не	3	4
106	то же	9	4
107	в течение	4	4
108	если мы	5	4
109	из которых	3	4
110	хотя бы	4	4
111	в виде	3	4
112	в области	3	4
113	мы будем	2	3
114	представление о	2	3
115	вопрос о	2	3
116	в нем	5	3
117	от того	2	3
118	в разных	2	3
119	то ни	4	3
120	что оно	7	3
121	заключается в	2	3
122	и наконец	3	3
123	и по	2	3
124	это не	12	3
125	в истории	3	3
126	что мы	7	3
127	при помощи	3	3
128	и потому	3	3
129	бы в	4	3
130	с тем	4	3
131	можно назвать	3	3
132	прежде всего	11	3
133	в жизни	5	3
134	у нас	3	3
135	во всем	2	3
136	от него	3	3
137	и может	2	3
138	конечно не	2	3
139	что если	3	3
140	только что	2	3
141	жизнь и	2	3
142	должны быть	4	3
143	или иначе	2	3
144	что по	2	3
145	в данном	3	3
146	очень много	2	3
147	тем более	6	3
148	и вообще	7	3
149	ничего общего	4	3
150	и это	8	3
151	отличие от	2	3
152	сказали что	2	3
153	свою очередь	2	2
154	в частности	2	2
155	себя и	3	2
156	двух или	2	2
157	с этой	2	2
158	что на	2	2
159	совершенно ясно	2	2
160	что они	4	2
161	на этом	3	2
162	же время	6	2
163	в свою	3	2
164	от себя	2	2
165	но для	2	2
166	в ней	5	2
167	но если	5	2
168	в виду	9	2
169	в котором	2	2
170	и уже	4	2
171	с ее	10	2
172	другими словами	5	2
173	что она	5	2
174	то и	2	2
175	и будет	2	2
176	с ними	4	2
177	и так	2	2
178	но как	2	2
179	говорить о	11	2
180	не было	2	2
181	в один	3	2
182	также и	4	2
183	а это	2	2
184	во всяком	2	2
185	возможно лишь	2	2
186	в основе	10	2
187	только не	3	2
188	отнюдь не	4	2
189	при таком	2	2
190	от нее	3	2
191	в них	2	2
192	же что	3	2
193	только мы	2	2
194	тогда когда	5	2
195	вовсе не	6	2
196	при условии	2	2
197	только тогда	5	2
198	то в	5	2
199	так чтобы	3	2
200	тех же	2	2
201	она не	4	2
202	было бы	9	2
203	жизни и	4	2
204	и из	2	2
205	на себе	5	2
206	никто не	2	2
207	в сущности	5	2
208	общего с	3	2
209	во внимание	2	2
210	как не	2	2
211	будет иметь	2	2
212	что же	2	2
213	одной и	3	2
214	в себя	5	2
215	тем самым	3	2
216	и ее	8	2
217	есть в	4	2
218	и только	2	2
219	теперь мы	7	2
