N	2gram	Berdyaev_N_1	RusskieA
1	и в	16	36
2	не только	5	22
3	что в	9	19
4	том что	2	19
5	в том	8	17
6	но и	3	16
7	в этом	7	12
8	это не	4	10
9	как и	7	10
10	вместе с	2	10
11	и на	2	10
12	потому что	4	10
13	а в	2	9
14	с тем	3	8
15	может быть	7	8
16	о том	4	8
17	как это	2	8
18	так и	2	7
19	и не	11	6
20	в них	4	6
21	уже не	2	6
22	мы не	2	6
23	все это	5	6
24	не имеет	4	6
25	то что	4	6
26	как будто	2	5
27	как в	3	5
28	к тому	3	4
29	по существу	2	4
30	одна из	2	4
31	еще не	3	4
32	во всех	3	4
33	в россии	3	4
34	не может	16	4
35	и что	2	4
36	но это	6	4
37	в русском	2	4
38	не менее	4	3
39	к жизни	3	3
40	думать что	2	3
41	и к	5	3
42	к ним	3	3
43	так же	2	3
44	связаны с	2	3
45	не было	4	2
46	могут быть	2	2
47	не означает	3	2
48	с этим	2	2
49	и начало	3	2
50	и потому	4	2
51	в нем	5	2
52	у него	2	2
53	в жизни	5	2
54	такой же	2	2
55	но не	2	2
56	в прошлом	3	2
57	она не	3	2
58	в ней	5	2
59	должно было	2	2
60	не значит	3	2
61	и с	2	2
62	как не	8	2
63	значит что	4	2
64	но она	2	2
65	что она	2	2
66	для этого	2	2
67	все эти	2	2
68	а не	17	2
69	и пр	3	2
70	и для	4	2
71	хотя и	2	2
72	но в	2	2
73	еще до	2	2
