N	2gram	Savitsky_P_1	FransuaR
1	и в	14	65
2	как бы	4	22
3	и не	12	22
4	в том	9	16
5	в этом	10	15
6	но в	9	14
7	в нем	3	13
8	прежде всего	3	11
9	том числе	2	10
10	и потому	4	10
11	не только	17	10
12	но и	6	10
13	в его	2	9
14	во всех	2	9
15	все это	2	9
16	в своем	4	8
17	в области	11	7
18	точки зрения	3	7
19	только в	7	7
20	главным образом	2	6
21	том что	4	6
22	в значительной	2	6
23	может быть	5	6
24	в ней	6	6
25	в отношении	10	6
26	в частности	2	5
27	еще более	2	5
28	в них	2	5
29	потому что	3	5
30	есть в	2	5
31	и пр	5	5
32	между тем	3	5
33	xix века	6	5
34	в общем	2	4
35	и к	4	4
36	не в	5	4
37	из них	2	4
38	для нас	2	4
39	культуры в	2	4
40	в жизни	2	4
41	что в	4	3
42	это не	3	3
43	европейской культуры	4	3
44	в ее	2	3
45	в ряду	2	3
46	с точки	3	3
47	то что	4	3
48	как раз	2	3
49	не может	4	3
50	и других	2	3
51	во всей	2	3
52	с другой	5	3
53	в себе	3	3
54	и с	2	3
55	но не	3	2
56	и без	3	2
57	бы ни	2	2
58	же в	4	2
59	да и	2	2
60	образом на	2	2
61	одной стороны	3	2
62	например в	2	2
63	между прочим	2	2
64	наряду с	3	2
65	хотя и	3	2
66	значительной мере	2	2
67	так называемые	2	2
68	не к	2	2
69	время в	2	2
70	отношения к	2	2
71	с одной	3	2
72	и вот	2	2
73	того что	2	2
74	что мы	3	2
75	которое в	2	2
76	могут быть	3	2
77	и это	2	2
