N	2gram	Losev_Prob_3	Tvorches
1	и в	44	20
2	не только	14	13
3	и т	13	13
4	никогда не	6	11
5	т д	13	11
6	как бы	9	11
7	в его	9	10
8	таким образом	9	10
9	в то	9	10
10	и его	5	9
11	и не	35	9
12	прежде всего	3	8
13	в том	21	8
14	при этом	4	8
15	но и	10	8
16	может быть	28	8
17	в этом	17	8
18	и с	9	8
19	это не	9	7
20	что в	8	7
21	не может	7	7
22	то же	13	7
23	потому что	25	7
24	в конце	5	6
25	что он	9	6
26	как и	10	6
27	в целом	6	6
28	в своей	5	6
29	так и	10	6
30	все это	5	6
31	именно в	2	6
32	а не	18	6
33	но это	8	5
34	еще не	5	5
35	но не	3	5
36	и сам	5	5
37	все же	6	5
38	и даже	14	5
39	так же	5	5
40	в этой	3	5
41	о том	6	5
42	то есть	34	5
43	об этом	3	4
44	что у	3	4
45	и от	9	4
46	мы не	7	4
47	том что	12	4
48	что они	5	4
49	отнюдь не	10	4
50	хотя и	5	4
51	когда он	2	4
52	как в	5	4
53	в известной	2	4
54	если не	3	4
55	все эти	7	4
56	тем самым	5	4
57	героя в	2	4
58	не в	13	4
59	а в	5	4
60	в чем	4	4
61	и потому	7	4
62	ничего не	3	4
63	если бы	3	4
64	но в	12	4
65	а с	2	3
66	он сам	4	3
67	же как	3	3
68	с этой	3	3
69	своих героев	2	3
70	с ним	7	3
71	для него	3	3
72	в самом	3	3
73	он не	8	3
74	в котором	2	3
75	не является	11	3
76	в нем	9	3
77	то что	23	3
78	но уже	3	3
79	и это	9	3
80	вместе с	2	3
81	сих пор	2	3
82	в их	2	3
83	по мнению	2	3
84	с большим	2	3
85	так как	9	3
86	уже не	7	3
87	в таком	5	3
88	этот вопрос	3	3
89	тем что	4	3
90	заставляет нас	2	3
91	в которых	3	3
92	в себе	8	3
93	в начале	2	3
94	у пушкина	6	3
95	его в	3	3
96	нет ничего	6	3
97	до сих	2	3
98	ни к	3	2
99	уже в	3	2
100	не менее	10	2
101	и есть	5	2
102	это уже	3	2
103	и без	4	2
104	с другой	7	2
105	или даже	5	2
106	по крайней	5	2
107	не мешает	3	2
108	вовсе не	37	2
109	во всяком	9	2
110	и ее	3	2
111	крайней мере	5	2
112	в ее	4	2
113	в искусстве	4	2
114	у нас	10	2
115	д и	4	2
116	так что	12	2
117	как о	5	2
118	не стоит	2	2
119	и если	6	2
120	в частности	2	2
121	у тургенева	2	2
122	относится и	2	2
123	но если	6	2
124	всяком случае	6	2
125	себя в	2	2
126	не считать	4	2
127	в процессе	2	2
128	с полным	4	2
129	и тогда	3	2
130	к самому	2	2
131	в отличие	2	2
132	не было	5	2
133	но эта	3	2
134	всякого рода	4	2
135	самом деле	3	2
136	и что	7	2
137	и у	2	2
138	на этот	4	2
139	другой стороны	5	2
140	не так	3	2
141	и по	2	2
142	друг друга	2	2
143	с другими	3	2
144	тут же	4	2
145	не столько	2	2
146	образ и	3	2
147	в основе	2	2
148	из них	2	2
149	в виде	6	2
150	могут быть	2	2
151	в которой	2	2
152	говорить о	3	2
153	и вообще	8	2
154	и только	6	2
155	только в	19	2
156	при помощи	8	2
157	таком случае	4	2
158	из этого	3	2
159	только с	4	2
160	едва ли	5	2
161	отличие от	3	2
162	тоже не	5	2
163	же не	2	2
164	однако это	2	2
