N	2gram	Potebnia_M_1	VelikijI
1	и не	18	20
2	и в	39	16
3	свободы и	3	12
4	то что	10	9
5	так как	21	9
6	еще не	6	8
7	в истории	7	8
8	и потому	5	7
9	а не	21	7
10	не есть	10	6
11	в мире	3	5
12	хотя и	3	5
13	как бы	6	5
14	но и	20	5
15	того что	8	5
16	и есть	2	4
17	что все	3	4
18	в нем	20	4
19	как и	9	4
20	все что	2	4
21	что мы	4	4
22	так и	13	4
23	что не	10	4
24	потому что	52	4
25	в этом	15	4
26	в ней	7	4
27	и все	3	4
28	в его	5	4
29	если не	2	3
30	должна быть	3	3
31	что в	22	3
32	по этому	2	3
33	в этих	7	3
34	что во	2	3
35	в них	3	3
36	в жизни	3	3
37	в том	26	3
38	не в	15	3
39	но это	5	3
40	за ним	2	3
41	к тому	4	3
42	во всех	5	3
43	никогда не	4	3
44	оно не	3	3
45	то это	5	3
46	что и	6	3
47	жизни и	2	3
48	в своей	3	3
49	тому что	3	3
50	не было	4	3
51	и что	10	3
52	не имеет	5	3
53	хотя бы	2	3
54	и для	5	3
55	должно быть	7	3
56	нет ничего	2	3
57	но в	9	3
58	не могут	4	2
59	с тем	5	2
60	не создает	2	2
61	это не	7	2
62	прежде всего	4	2
63	его к	2	2
64	есть уже	3	2
65	для нас	9	2
66	том что	16	2
67	от него	4	2
68	но не	8	2
69	для него	4	2
70	для них	2	2
71	когда в	3	2
72	того чтобы	2	2
73	и во	3	2
74	не только	21	2
75	не могли	2	2
76	и т	6	2
77	не будет	2	2
78	т д	4	2
79	тем что	9	2
80	мы не	10	2
81	уже не	2	2
82	не так	3	2
83	силы человека	2	2
84	для человека	2	2
85	а в	5	2
86	с ним	3	2
87	духа и	7	2
88	и то	3	2
89	между тем	5	2
90	могут быть	9	2
91	самого себя	4	2
92	только в	25	2
93	и это	3	2
94	во всяком	3	2
95	которые не	2	2
96	а между	3	2
