N	2gram	Berdyaev_V_1	RusskieA
1	и в	16	29
2	что в	3	22
3	том что	2	22
4	в том	3	22
5	как бы	5	18
6	так как	9	13
7	как и	4	11
8	одна из	2	11
9	в этом	4	11
10	все это	5	10
11	не только	2	10
12	а в	2	9
13	но и	5	8
14	ее в	2	8
15	с тем	2	6
16	мы не	2	6
17	еще не	8	6
18	для нас	2	6
19	того чтобы	2	6
20	на земле	7	5
21	потому что	4	5
22	это не	2	5
23	то что	9	5
24	и что	3	5
25	но не	2	5
26	и т	2	5
27	т д	2	5
28	земли и	2	5
29	но в	3	5
30	в них	3	4
31	и все	4	4
32	уже не	2	4
33	не в	3	4
34	а не	7	4
35	их в	3	4
36	что от	2	3
37	тем что	2	3
38	в этих	3	3
39	за ним	3	3
40	того что	5	3
41	в котором	4	3
42	не имеет	3	3
43	во всех	3	3
44	все эти	3	3
45	между тем	2	3
46	могут быть	2	2
47	никогда не	3	2
48	по этому	3	2
49	ее и	2	2
50	в образе	4	2
51	прежде всего	2	2
52	что и	3	2
53	для них	2	2
54	один из	2	2
55	не с	2	2
56	в своей	3	2
57	не к	2	2
58	в форме	2	2
59	а с	2	2
60	не было	3	2
61	и для	3	2
62	должно быть	3	2
63	можно было	2	2
64	а к	2	2
65	и то	2	2
66	людей и	2	2
67	на себя	5	2
