N	2gram	Nazirov_Tv_2	formyVre
1	и в	20	46
2	в этом	8	22
3	прежде всего	8	14
4	и т	13	14
5	вовсе не	2	13
6	в романе	15	13
7	и его	9	12
8	только в	2	11
9	не только	13	11
10	т п	2	11
11	в том	8	10
12	как бы	11	10
13	то есть	5	10
14	но в	4	10
15	у него	6	9
16	не в	4	9
17	вместе с	3	9
18	но и	8	9
19	и не	9	9
20	как и	6	8
21	в его	10	8
22	то же	7	8
23	потому что	7	8
24	из них	2	8
25	в основном	6	8
26	в одном	2	7
27	может быть	8	7
28	то что	3	7
29	так и	6	7
30	и на	5	7
31	так сказать	2	7
32	никогда не	11	6
33	при этом	8	6
34	еще не	5	6
35	его в	3	6
36	все же	5	6
37	все это	6	6
38	человека в	3	6
39	и наконец	2	6
40	в основе	2	6
41	так как	3	6
42	и с	8	6
43	в частности	2	5
44	в дальнейшем	4	5
45	в то	10	5
46	но не	5	5
47	он не	3	5
48	и др	3	5
49	в нем	3	5
50	что в	7	5
51	все эти	4	5
52	и у	2	5
53	место в	3	4
54	уже в	2	4
55	отнюдь не	4	4
56	жизни в	3	4
57	с этой	3	4
58	человека и	3	4
59	в образе	3	4
60	же время	7	4
61	с ним	3	4
62	том что	4	4
63	так что	2	4
64	что они	4	4
65	том же	2	4
66	в котором	3	4
67	в мире	5	4
68	как в	4	4
69	а не	6	4
70	и он	2	4
71	их в	2	4
72	в себе	3	4
73	в истории	2	4
74	о том	5	4
75	не было	2	3
76	не является	3	3
77	к этому	3	3
78	что он	6	3
79	а затем	3	3
80	как у	3	3
81	для него	3	3
82	хотя и	4	3
83	что на	2	3
84	в этот	2	3
85	нет и	2	3
86	точка зрения	2	3
87	но эти	2	3
88	т д	11	3
89	таким образом	10	3
90	в их	3	3
91	уже не	3	3
92	при виде	2	3
93	и даже	5	3
94	и по	2	3
95	а в	4	3
96	роль в	2	3
97	в которых	3	3
98	тем что	3	3
99	не могли	2	3
100	только для	2	2
101	в роман	2	2
102	и есть	2	2
103	говорить о	2	2
104	с другой	2	2
105	и других	2	2
106	это не	7	2
107	в одной	3	2
108	представление о	7	2
109	в духе	4	2
110	одном из	2	2
111	со своими	2	2
112	но эта	2	2
113	именно в	6	2
114	у нас	2	2
115	мы видим	4	2
116	в этой	5	2
117	особое место	2	2
118	наряду с	7	2
119	и потому	4	2
120	один из	3	2
121	сих пор	3	2
122	на землю	2	2
123	не может	7	2
124	и только	2	2
125	если не	4	2
126	образ человека	2	2
127	так же	5	2
128	особенно в	2	2
129	рядом с	2	2
130	но это	5	2
131	случайностей и	2	2
132	и от	4	2
133	могут быть	2	2
134	в литературе	2	2
135	которой он	2	2
136	в конце	6	2
137	и это	3	2
138	во всяком	2	2
139	до сих	3	2
