N	2gram	Berdyaev_V_1	Vladivir
1	и в	16	40
2	то что	9	28
3	и не	20	25
4	не только	2	25
5	но и	5	18
6	в том	3	18
7	том что	2	18
8	что в	3	17
9	в этом	4	16
10	в его	4	14
11	только в	2	13
12	в конце	3	12
13	никогда не	3	11
14	потому что	4	11
15	прежде всего	2	10
16	ни в	3	10
17	то это	3	10
18	и потому	7	10
19	не есть	6	10
20	уже не	2	9
21	и то	2	9
22	в своей	3	9
23	для него	2	8
24	и что	3	8
25	а не	7	8
26	что все	4	7
27	к тому	3	7
28	хотя и	5	7
29	а в	2	7
30	так как	9	7
31	с тем	2	7
32	того что	5	7
33	что и	3	7
34	как и	4	7
35	да и	2	6
36	не будет	2	6
37	так и	4	6
38	если не	3	6
39	хотя бы	3	6
40	но это	3	6
41	и это	2	6
42	в боге	5	6
43	для нас	2	5
44	должно быть	3	5
45	не было	3	5
46	все эти	3	5
47	в ней	4	5
48	в истории	8	5
49	что он	4	5
50	можно было	2	5
51	тем что	2	5
52	тому что	3	4
53	в котором	4	4
54	не имеет	3	4
55	бы и	3	4
56	и все	4	4
57	не с	2	4
58	но не	2	4
59	еще не	8	4
60	а с	2	4
61	но в	3	4
62	это не	2	3
63	человека и	6	3
64	как бы	5	3
65	в нем	4	3
66	и против	3	3
67	вопросе о	2	3
68	что есть	5	3
69	не так	2	3
70	раз навсегда	2	3
71	в абсолютном	3	3
72	по этому	3	3
73	в духе	2	3
74	этих трех	3	3
75	оно не	3	3
76	ее в	2	3
77	того чтобы	2	3
78	не в	3	3
79	и для	3	3
80	во всяком	2	3
81	в чем	3	3
82	не могут	2	2
83	должна быть	3	2
84	в этих	3	2
85	выше всякого	2	2
86	мы и	2	2
87	и за	2	2
88	а есть	2	2
89	об абсолютном	2	2
90	самого себя	2	2
91	что мы	4	2
92	нет ничего	3	2
93	с его	3	2
94	к богу	8	2
95	в жизни	3	2
96	но мы	2	2
97	что истина	2	2
98	в вопросе	3	2
99	не к	2	2
100	выше всего	2	2
101	в мире	5	2
102	как не	3	2
103	мы не	2	2
104	от этого	3	2
105	является в	2	2
106	на себя	5	2
107	о свободе	2	2
108	которые не	2	2
109	не имел	2	2
