N	2gram	Savitsky_P_1	FransuaR
1	и в	14	41
2	в этом	10	15
3	то же	9	13
4	в его	2	12
5	прежде всего	3	11
6	в том	9	11
7	в себе	3	11
8	все это	2	10
9	в то	7	10
10	в качестве	9	9
11	не в	5	9
12	же время	7	9
13	но и	6	9
14	в своем	4	9
15	что в	4	9
16	то что	4	8
17	но в	9	8
18	в них	2	7
19	как бы	4	7
20	в нем	3	7
21	и не	12	7
22	это не	3	6
23	есть в	2	6
24	только в	7	6
25	не только	17	5
26	и к	4	5
27	в ней	6	5
28	а в	4	5
29	точки зрения	3	5
30	и это	2	5
31	потому что	3	5
32	том числе	2	4
33	хотя и	3	4
34	том что	4	4
35	одна из	2	4
36	было бы	6	4
37	может быть	5	4
38	должно быть	2	4
39	и с	2	4
40	и есть	2	3
41	в отношении	10	3
42	и потому	4	3
43	в мире	2	3
44	из них	2	3
45	например в	2	3
46	во всех	2	3
47	не может	4	3
48	не было	2	3
49	тем самым	3	3
50	с точки	3	3
51	с ними	3	3
52	именно в	2	2
53	в недрах	2	2
54	с этим	2	2
55	есть не	2	2
56	и как	3	2
57	тот же	3	2
58	того что	2	2
59	а также	4	2
60	же в	4	2
61	начала и	2	2
62	время в	2	2
63	во всей	2	2
64	еще более	2	2
65	и других	2	2
66	и вот	2	2
67	в значительной	2	2
68	а не	2	2
69	мы не	3	2
70	в которых	5	2
71	в области	11	2
