N	2gram	Berdyaev_N_1	RusskieA
1	и в	16	29
2	что в	9	22
3	том что	2	22
4	в том	8	22
5	может быть	7	13
6	как и	7	11
7	одна из	2	11
8	в этом	7	11
9	все это	5	10
10	и с	2	10
11	не только	5	10
12	о том	4	9
13	а в	2	9
14	но и	3	8
15	как в	3	7
16	с тем	3	6
17	мы не	2	6
18	еще не	3	6
19	вместе с	2	6
20	того чтобы	2	6
21	и на	2	6
22	потому что	4	5
23	это не	4	5
24	то что	4	5
25	и что	2	5
26	но не	2	5
27	для этого	2	5
28	к жизни	3	5
29	не может	16	5
30	но в	2	5
31	в них	4	4
32	и все	4	4
33	вопрос о	3	4
34	уже не	2	4
35	по существу	2	4
36	не в	6	4
37	же как	2	4
38	так же	2	4
39	а не	17	4
40	как это	2	4
41	и от	2	3
42	должно было	2	3
43	в ее	3	3
44	связаны с	2	3
45	она не	3	3
46	что она	2	3
47	не имеет	4	3
48	во всех	3	3
49	в природе	2	3
50	все эти	2	3
51	тому как	3	3
52	подобно тому	3	3
53	не менее	4	2
54	могут быть	2	2
55	никогда не	6	2
56	жизни в	3	2
57	с другой	3	2
58	прежде всего	4	2
59	в новой	7	2
60	это и	2	2
61	совсем не	12	2
62	одной стороны	2	2
63	и пр	3	2
64	должен быть	5	2
65	но она	2	2
66	в своей	3	2
67	не к	2	2
68	том чтобы	2	2
69	не было	4	2
70	с одной	2	2
71	и для	4	2
72	должно быть	4	2
73	можно было	2	2
74	с этим	2	2
75	в то	2	2
76	когда мы	2	2
77	есть в	2	2
