N	2gram	Losev_Vlad_3	Istorich
1	и в	40	22
2	мы имеем	3	19
3	в этом	16	17
4	что в	17	15
5	не только	25	14
6	мы видели	3	13
7	но и	18	12
8	и не	25	12
9	может быть	8	11
10	в этих	2	11
11	еще не	4	10
12	таким образом	11	10
13	но в	4	10
14	что он	5	9
15	в нем	3	9
16	что и	7	9
17	вместе с	7	9
18	в том	18	9
19	с этим	2	8
20	том что	18	8
21	как мы	8	8
22	другой стороны	2	7
23	с другой	5	7
24	к этому	2	7
25	но не	4	7
26	то что	28	7
27	из них	2	7
28	уже не	9	7
29	и здесь	6	7
30	мы должны	4	7
31	так как	7	7
32	связи с	2	6
33	это не	3	6
34	что здесь	3	6
35	мы уже	5	6
36	не вполне	2	6
37	не все	3	6
38	то и	2	6
39	а в	7	6
40	то же	4	6
41	в течение	4	6
42	а не	8	6
43	друг друга	2	6
44	ничего не	5	6
45	если бы	3	6
46	не менее	9	5
47	тем не	10	5
48	так что	14	5
49	есть и	4	5
50	все же	4	5
51	что она	2	5
52	он не	8	5
53	с большим	3	5
54	того что	7	5
55	к нему	3	5
56	в этой	8	5
57	как это	4	4
58	у нас	5	4
59	не в	3	4
60	в дальнейшем	4	4
61	только в	13	4
62	она не	2	4
63	что на	2	4
64	для нас	5	4
65	а именно	12	4
66	находится в	3	4
67	и его	10	4
68	и на	6	4
69	в данном	5	4
70	можно найти	2	4
71	не может	14	4
72	тем что	5	4
73	все эти	5	4
74	и с	9	4
75	я не	3	3
76	и от	6	3
77	и все	4	3
78	могло быть	2	3
79	прежде всего	10	3
80	можно только	2	3
81	стороны и	2	3
82	к тому	7	3
83	и к	2	3
84	как и	7	3
85	и как	7	3
86	но это	6	3
87	у него	24	3
88	было бы	4	3
89	между прочим	5	3
90	выше мы	2	3
91	можно ли	2	3
92	в его	14	3
93	никогда не	11	3
94	в целом	2	3
95	быть и	2	3
96	ее в	3	3
97	данном случае	2	3
98	со стороны	2	3
99	должен был	2	3
100	в связи	3	3
101	видели выше	2	3
102	имеет свою	2	3
103	и у	3	3
104	а если	2	3
105	так же	8	3
106	сказать что	12	3
107	потому что	11	3
108	из этих	3	3
109	далеко не	3	3
110	о том	11	3
111	его в	2	3
112	при помощи	4	3
113	здесь не	3	3
114	в чем	3	3
115	стоит на	2	3
116	не было	5	2
117	с тем	7	2
118	независимо от	3	2
119	знаем что	2	2
120	в сторону	2	2
121	здесь и	2	2
122	и так	2	2
123	точно так	4	2
124	в одном	5	2
125	в жизни	2	2
126	вовсе не	13	2
127	вопрос о	4	2
128	указать на	4	2
129	во всяком	3	2
130	или не	3	2
131	мы знаем	3	2
132	же в	3	2
133	ни в	10	2
134	тому же	5	2
135	но все	3	2
136	в силу	2	2
137	такой же	4	2
138	и более	2	2
139	об этой	2	2
140	с одной	3	2
141	при этом	3	2
142	в качестве	3	2
143	то время	4	2
144	на себя	2	2
145	себе в	2	2
146	одной стороны	3	2
147	совершенно не	2	2
148	себе и	2	2
149	не мог	6	2
150	и о	4	2
151	же как	3	2
152	да и	6	2
153	хотя и	7	2
154	в ней	5	2
155	и потому	10	2
156	всяком случае	3	2
157	в этот	2	2
158	в котором	4	2
159	даже в	4	2
160	не имеет	4	2
161	не с	4	2
162	то это	10	2
163	и это	6	2
164	нет ничего	2	2
165	который был	2	2
166	так и	6	2
167	не имеют	2	2
168	даже не	3	2
169	только на	5	2
170	в своем	8	2
171	если не	6	2
172	на одной	2	2
173	на самом	3	2
174	там же	7	2
175	и что	8	2
176	и даже	6	2
177	есть только	9	2
178	и для	3	2
179	роль в	2	2
180	время как	2	2
181	а то	2	2
182	и то	9	2
183	в виде	13	2
184	точки зрения	13	2
185	в другом	2	2
186	в то	7	2
187	мы сейчас	2	2
188	то не	2	2
189	а также	8	2
190	же не	2	2
