N	2gram	Tiupa_Vved_1	Istorich
1	и в	13	22
2	мы имеем	5	19
3	в этом	21	17
4	что в	3	15
5	не только	20	14
6	мы видели	2	13
7	но и	19	12
8	и не	12	12
9	может быть	18	11
10	в этих	3	11
11	еще не	7	10
12	таким образом	4	10
13	но в	6	10
14	в нем	5	9
15	что и	2	9
16	в том	10	9
17	том что	7	8
18	как мы	3	8
19	другой стороны	2	7
20	с другой	5	7
21	к этому	2	7
22	но не	5	7
23	то что	6	7
24	уже не	5	7
25	этих случаях	2	7
26	в них	2	6
27	это не	6	6
28	не вполне	3	6
29	не все	2	6
30	то и	2	6
31	а в	6	6
32	то же	5	6
33	а не	15	6
34	так в	4	6
35	мы можем	2	6
36	если бы	7	6
37	не менее	4	5
38	в частности	13	5
39	тем не	3	5
40	один из	3	5
41	все же	6	5
42	он не	3	5
43	того что	6	5
44	могут быть	4	5
45	не всегда	2	4
46	на смену	2	4
47	не в	6	4
48	с появлением	2	4
49	в пределах	2	4
50	только в	6	4
51	в свою	4	4
52	одним из	5	4
53	что на	2	4
54	связано с	3	4
55	отношение к	2	4
56	для нас	2	4
57	и его	5	4
58	и на	3	4
59	в данном	13	4
60	не может	7	4
61	тем что	2	4
62	представляют собой	3	4
63	и с	2	4
64	должны были	2	3
65	для них	3	3
66	состоит в	10	3
67	целый ряд	2	3
68	в одной	2	3
69	и от	2	3
70	и все	4	3
71	прежде всего	7	3
72	к тому	6	3
73	и к	2	3
74	как и	11	3
75	но это	3	3
76	представляет собой	15	3
77	все что	3	3
78	было бы	4	3
79	в его	4	3
80	никогда не	4	3
81	в целом	3	3
82	быть и	2	3
83	данном случае	6	3
84	со стороны	5	3
85	все равно	2	3
86	потому что	5	3
87	он и	2	3
88	из этих	3	3
89	далеко не	4	3
90	о том	5	3
91	здесь не	2	3
92	их в	2	3
93	не было	2	2
94	в жизни	4	2
95	можно сказать	4	2
96	или не	2	2
97	тому же	4	2
98	в силу	2	2
99	и более	3	2
100	но они	2	2
101	одна из	4	2
102	с одной	5	2
103	как в	4	2
104	при этом	26	2
105	в качестве	8	2
106	ли это	2	2
107	одной стороны	5	2
108	у нее	2	2
109	например в	2	2
110	одного из	3	2
111	хотя и	7	2
112	в ней	4	2
113	в этот	2	2
114	в котором	8	2
115	не имеет	2	2
116	не с	3	2
117	отношению к	7	2
118	жизни и	7	2
119	так и	8	2
120	по отношению	7	2
121	в своем	5	2
122	на самом	4	2
123	и для	3	2
124	а то	2	2
125	о ней	4	2
126	дело с	2	2
127	в то	4	2
128	как будто	4	2
129	как правило	6	2
130	и вновь	3	2
131	детей в	2	2
132	а также	8	2
