N	2gram	Potebnia_M_2	EvropaiE
1	и в	24	37
2	что в	16	21
3	не только	15	18
4	в то	6	16
5	хотя бы	2	15
6	то же	12	15
7	отношении к	2	15
8	же время	2	14
9	но и	9	14
10	и не	19	14
11	но в	4	14
12	в этом	8	12
13	в том	18	11
14	так и	5	10
15	прежде всего	7	9
16	не может	12	9
17	в себе	10	9
18	только в	11	9
19	так же	2	9
20	думать что	3	8
21	одной стороны	3	8
22	было бы	13	8
23	с одной	4	8
24	между тем	6	8
25	как и	7	7
26	нам кажется	4	7
27	между прочим	4	7
28	того что	7	7
29	с другой	6	7
30	так как	10	7
31	вовсе не	9	6
32	том что	8	6
33	может быть	23	6
34	вслед за	3	6
35	для того	5	6
36	на то	5	6
37	как бы	9	6
38	то что	20	6
39	во всех	7	6
40	того чтобы	2	6
41	и на	8	6
42	то есть	30	6
43	столь же	5	5
44	не в	13	5
45	но не	12	5
46	но если	2	5
47	со стороны	3	5
48	тем самым	4	5
49	и по	2	5
50	и потому	2	5
51	ни было	3	4
52	независимо от	9	4
53	но даже	3	4
54	как совокупность	2	4
55	вопрос о	2	4
56	само по	2	4
57	в самом	4	4
58	в ней	3	4
59	к ней	2	4
60	по себе	15	4
61	для нас	31	4
62	не на	2	4
63	мы не	11	4
64	и притом	3	4
65	не имеет	6	4
66	во многих	3	4
67	сказать что	2	4
68	в каком	3	4
69	как это	2	4
70	место в	4	3
71	но на	2	3
72	с тем	4	3
73	никогда не	4	3
74	в них	5	3
75	и от	3	3
76	этом смысле	2	3
77	от них	3	3
78	в общем	2	3
79	мы можем	12	3
80	в свою	6	3
81	очевидно что	3	3
82	того же	14	3
83	не дает	2	3
84	связано с	2	3
85	бы ни	5	3
86	из них	5	3
87	всяком случае	7	3
88	себе не	4	3
89	и тем	3	3
90	что и	11	3
91	заключает в	4	3
92	как в	10	3
93	и только	6	3
94	и для	3	3
95	как на	3	3
96	в таком	4	3
97	можно думать	2	3
98	потому что	49	3
99	во всяком	7	3
100	тем что	7	3
101	существования в	2	3
102	себе в	3	3
103	во все	2	3
104	о том	5	3
105	там где	4	3
106	что все	2	2
107	не могут	7	2
108	а не	18	2
109	в этих	3	2
110	в какой	2	2
111	с в	2	2
112	и во	3	2
113	с этим	7	2
114	и все	3	2
115	в одном	6	2
116	главным образом	4	2
117	одном из	4	2
118	есть не	5	2
119	что на	3	2
120	влияние на	4	2
121	же в	5	2
122	и того	6	2
123	и как	6	2
124	отношений между	3	2
125	такой же	4	2
126	есть в	2	2
127	что если	6	2
128	свою очередь	6	2
129	между ними	2	2
130	не можем	6	2
131	или по	2	2
132	что это	3	2
133	даже при	2	2
134	кажется что	3	2
135	и если	4	2
136	имеет место	2	2
137	эти последние	2	2
138	в его	2	2
139	помнить что	3	2
140	мог бы	3	2
141	в котором	4	2
142	если в	3	2
143	не есть	6	2
144	с а	4	2
145	как не	3	2
146	в некоторых	4	2
147	вместе с	11	2
148	не дают	2	2
149	а в	8	2
150	таким образом	11	2
151	если бы	11	2
152	и других	2	2
153	и что	4	2
154	другой стороны	2	2
155	в других	4	2
156	с другими	5	2
157	мы видим	2	2
158	или в	2	2
159	хотя и	3	2
160	могут быть	8	2
161	и то	3	2
162	мы должны	2	2
163	его на	2	2
164	далеко не	3	2
165	как оно	2	2
166	и поэтому	2	2
167	бы в	2	2
168	то не	3	2
169	заметить что	6	2
170	тогда когда	10	2
171	в эту	3	2
172	например с	2	2
