N	2gram	Nazirov_Tr_1	Sovremen
1	не может	5	17
2	может быть	7	12
3	в этом	9	7
4	и в	18	7
5	и не	7	6
6	как и	5	6
7	ничего не	2	6
8	прежде всего	4	5
9	все эти	3	5
10	как бы	7	4
11	в целом	4	4
12	это не	5	4
13	вопрос о	2	4
14	не только	8	4
15	в том	2	4
16	в дальнейшем	5	4
17	уже в	3	3
18	состоит из	2	3
19	все же	5	3
20	отнюдь не	3	3
21	все это	4	3
22	в конце	3	3
23	то же	5	3
24	в нем	4	3
25	не в	2	3
26	в этой	4	3
27	одна из	2	3
28	еще не	4	3
29	при этом	3	3
30	в одном	2	3
31	и все	4	3
32	в первом	2	3
33	в себе	4	3
34	что она	2	3
35	но в	6	3
36	не могут	2	2
37	что это	5	2
38	в виде	2	2
39	у него	6	2
40	то и	2	2
41	в отличие	2	2
42	что все	2	2
43	уже не	2	2
44	и что	4	2
45	и даже	4	2
46	в таком	2	2
47	но все	2	2
48	что в	4	2
49	по мнению	2	2
50	в самом	2	2
51	о жизни	2	2
52	отличие от	2	2
53	в его	3	2
