N	2gram	Trubetskoy_1	VrazhdaK
1	не только	7	9
2	в этом	12	8
3	и что	8	8
4	и в	23	8
5	но и	9	7
6	что в	8	7
7	то что	18	7
8	и все	7	7
9	в котором	2	6
10	в нем	3	6
11	все же	13	6
12	как и	9	6
13	в начале	2	6
14	но в	4	6
15	и с	5	6
16	то же	4	5
17	не было	2	5
18	и не	8	5
19	у него	5	5
20	между тем	12	5
21	в то	6	5
22	же время	2	5
23	для нас	3	4
24	как бы	10	4
25	все это	11	4
26	целый ряд	4	4
27	это не	3	4
28	что он	7	4
29	так же	8	4
30	с ним	6	4
31	в своих	2	4
32	может быть	16	4
33	при этом	9	4
34	в истории	3	4
35	несмотря на	6	4
36	о том	7	4
37	в ней	3	4
38	в виду	2	4
39	я не	2	3
40	и уже	2	3
41	связи с	4	3
42	давно уже	2	3
43	в своем	10	3
44	что у	2	3
45	в связи	3	3
46	в конце	4	3
47	к этому	5	3
48	на то	9	3
49	и у	4	3
50	в том	30	3
51	том что	19	3
52	в его	5	3
53	далеко не	5	3
54	его в	5	3
55	одним из	4	3
56	он не	3	3
57	в эти	3	2
58	а с	4	2
59	и это	3	2
60	из них	5	2
61	не менее	7	2
62	он тоже	2	2
63	никогда не	4	2
64	вместе с	6	2
65	отнюдь не	2	2
66	в них	2	2
67	столь же	5	2
68	не может	17	2
69	а в	3	2
70	тогда как	6	2
71	таким образом	31	2
72	в одну	4	2
73	о которой	2	2
74	в в	4	2
75	на первый	2	2
76	же не	3	2
77	мы знаем	10	2
78	с точки	8	2
79	в глазах	2	2
80	тем более	3	2
81	в этой	6	2
82	и то	4	2
83	же как	3	2
84	их в	2	2
85	но как	2	2
86	точки зрения	13	2
87	в свою	2	2
88	и ее	2	2
89	в себе	5	2
90	отношение к	4	2
91	для него	2	2
92	еще не	5	2
93	при помощи	3	2
94	в мире	6	2
95	одна из	2	2
96	к ним	2	2
97	том же	4	2
98	в среде	2	2
99	в эту	2	2
