N	2gram	Tiupa_Lite_3	Vladivir
1	и в	16	31
2	в году	5	30
3	не только	14	24
4	но и	14	19
5	то что	12	18
6	и не	22	17
7	и даже	2	15
8	том что	8	14
9	что в	2	14
10	в этом	14	14
11	и с	2	14
12	что он	5	12
13	в его	6	12
14	но в	3	12
15	с его	6	11
16	в том	12	11
17	потому что	3	11
18	о том	6	11
19	никогда не	4	9
20	как мы	2	9
21	а в	5	9
22	только в	7	9
23	в конце	2	9
24	в то	9	8
25	для него	2	7
26	о нем	2	7
27	как раз	2	7
28	и его	6	7
29	как это	3	7
30	еще и	2	7
31	он и	2	6
32	к этому	2	6
33	и к	3	6
34	можно сказать	2	6
35	у нас	2	6
36	в качестве	5	6
37	того же	2	6
38	и потому	2	6
39	и сам	2	6
40	может быть	12	6
41	так и	9	6
42	не может	8	6
43	то же	9	6
44	на то	2	5
45	не в	10	5
46	и если	4	5
47	а также	4	5
48	что и	2	5
49	жизни и	3	5
50	когда он	2	5
51	в своих	2	5
52	я не	2	4
53	же время	7	4
54	что у	2	4
55	в нем	2	4
56	в себе	6	4
57	как и	5	4
58	и как	3	4
59	мы и	2	4
60	в этой	8	4
61	по своей	3	4
62	такого рода	10	4
63	хотя и	4	4
64	еще в	3	4
65	один из	2	4
66	себя в	7	4
67	в своей	7	4
68	ни с	2	4
69	в нас	2	4
70	несмотря на	2	4
71	для меня	2	4
72	к тому	6	3
73	отнюдь не	3	3
74	с другой	6	3
75	в жизни	8	3
76	со своими	2	3
77	как в	5	3
78	но не	4	3
79	него не	2	3
80	все же	2	3
81	на его	3	3
82	в целом	5	3
83	отношение к	2	3
84	вместе с	5	3
85	другой стороны	2	3
86	взгляд на	3	3
87	на свою	3	3
88	и вот	2	3
89	если не	2	3
90	о которой	2	3
91	уже не	3	3
92	едва ли	3	3
93	и на	2	3
94	он в	2	3
95	на себя	2	3
96	в начале	4	3
97	здесь не	2	3
98	то есть	5	3
99	место в	4	2
100	тем что	2	2
101	не менее	2	2
102	для его	3	2
103	в частности	11	2
104	по существу	4	2
105	личности с	3	2
106	тому же	5	2
107	что я	5	2
108	особого рода	5	2
109	еще не	6	2
110	при этом	15	2
111	того что	9	2
112	было бы	2	2
113	совершенно не	3	2
114	в самом	3	2
115	для своего	2	2
116	том чтобы	2	2
117	одним из	4	2
118	к жизни	2	2
119	даже в	4	2
120	для себя	2	2
121	отношением к	2	2
122	и а	3	2
123	из них	4	2
124	со стороны	7	2
125	а именно	5	2
126	и для	4	2
127	все мое	2	2
128	лишь в	5	2
129	тем самым	7	2
130	того чтобы	2	2
131	для того	2	2
132	как на	3	2
133	своей жизни	2	2
134	той же	3	2
135	с ними	2	2
136	а по	2	2
137	точки зрения	7	2
138	к себе	8	2
139	чтобы он	2	2
140	еще на	2	2
