N	2gram	Losev_Dial_4	SlovoVZh
1	не может	11	16
2	точки зрения	14	14
3	может быть	17	14
4	и его	7	13
5	как бы	14	13
6	таким образом	5	12
7	и в	15	12
8	и не	30	10
9	если бы	6	9
10	так как	14	9
11	прежде всего	11	8
12	сказать что	6	7
13	в нем	5	6
14	при этом	2	6
15	в том	11	6
16	только в	7	6
17	в ней	5	6
18	в жизни	5	5
19	то что	16	5
20	должна быть	7	5
21	никогда не	2	5
22	а не	18	5
23	можно сказать	5	5
24	то же	9	5
25	хотя бы	4	5
26	как и	7	5
27	том что	10	5
28	отнюдь не	4	5
29	как в	3	5
30	что мы	7	5
31	и следовательно	3	5
32	но в	3	5
33	в виду	9	5
34	все же	2	4
35	жизни и	4	4
36	так и	5	4
37	от того	2	4
38	уже не	9	4
39	что не	3	4
40	не в	8	4
41	в этом	11	4
42	и на	5	4
43	в самом	2	4
44	за пределы	3	4
45	не только	8	4
46	в котором	2	3
47	в них	2	3
48	отношении к	2	3
49	и уже	4	3
50	не менее	2	3
51	когда он	3	3
52	в своей	3	3
53	быть и	3	3
54	художественное произведение	2	3
55	все это	9	3
56	то ни	4	3
57	и по	2	3
58	и вообще	7	3
59	все эти	3	3
60	ясно что	11	3
61	по себе	13	3
62	этой точки	2	3
63	это как	2	3
64	но и	4	3
65	и пр	9	3
66	того что	13	3
67	и наконец	3	3
68	или не	4	3
69	тем не	2	3
70	ни в	8	3
71	да и	2	3
72	так же	4	3
73	мы не	9	3
74	ведь и	2	3
75	и с	4	3
76	о том	5	3
77	в каком	5	3
78	и ее	8	3
79	в себе	8	3
80	еще не	4	3
81	и для	5	3
82	конечно не	2	3
83	с ним	3	3
84	но для	2	3
85	как только	5	2
86	с этой	2	2
87	но мы	2	2
88	с его	5	2
89	что и	6	2
90	но все	2	2
91	что в	7	2
92	на все	2	2
93	как не	2	2
94	вместе с	2	2
95	себя и	3	2
96	общего с	3	2
97	и так	2	2
98	в своем	5	2
99	в отношении	2	2
100	допустим что	2	2
101	нет ничего	6	2
102	другой стороны	2	2
103	это не	12	2
104	вещи и	2	2
105	смысл и	3	2
106	мы имеем	5	2
107	и все	11	2
108	бы не	2	2
109	в особенности	4	2
110	за его	2	2
111	тогда когда	5	2
112	к этому	3	2
113	в себя	5	2
114	и слово	2	2
115	и что	9	2
116	едва ли	3	2
117	не есть	40	2
118	можем сказать	2	2
119	с точки	9	2
120	как же	5	2
121	его как	2	2
122	и притом	3	2
123	но это	4	2
124	в данном	3	2
125	и то	3	2
126	мы можем	3	2
127	произведение и	2	2
128	могут быть	3	2
129	но что	5	2
130	кроме того	2	2
131	она не	4	2
132	в то	6	2
133	ни на	6	2
134	и та	3	2
135	которые мы	2	2
136	оно не	2	2
137	в чем	8	2
138	как это	2	2
139	ничего не	17	2
140	совпадает с	2	2
141	в его	4	2
142	и потому	3	2
