N	2gram	Bakhtin_Fr_1	VerxiiNi
1	и в	65	26
2	в этом	15	15
3	точки зрения	7	13
4	как бы	22	12
5	в том	16	11
6	может быть	6	10
7	не только	10	10
8	и с	3	10
9	из этих	2	10
10	связи с	4	9
11	что в	3	9
12	но и	10	9
13	в области	7	9
14	так как	6	9
15	с другой	3	8
16	главным образом	6	8
17	но не	2	8
18	в общем	4	8
19	и не	22	8
20	и у	6	8
21	том что	6	7
22	но все	3	7
23	одной стороны	2	7
24	из них	4	7
25	к нему	3	7
26	то что	3	7
27	в эпоху	9	7
28	с одной	2	7
29	потому что	5	7
30	но в	14	7
31	к тому	2	6
32	и потому	10	6
33	несмотря на	2	6
34	все же	6	6
35	так и	10	6
36	все это	9	6
37	в отношении	6	6
38	все эти	10	6
39	с точки	3	6
40	в себе	3	6
41	о том	2	6
42	том числе	10	5
43	образом в	2	5
44	и к	4	5
45	отношение к	4	5
46	до сих	4	5
47	в его	9	5
48	никогда не	6	5
49	к жизни	2	5
50	сих пор	4	5
51	и для	2	5
52	в этих	2	4
53	и от	2	4
54	что он	3	4
55	в нем	13	4
56	числе и	7	4
57	в самом	4	4
58	не может	3	4
59	на этот	2	4
60	и по	2	4
61	во время	4	4
62	он не	2	4
63	только в	7	4
64	то есть	45	4
65	в этой	4	4
66	далеко не	3	4
67	и другие	8	3
68	европейской культуры	3	3
69	можно сказать	2	3
70	для него	5	3
71	из всех	2	3
72	в своем	8	3
73	так называемые	2	3
74	не вполне	2	3
75	в народном	2	3
76	при этом	6	3
77	но с	2	3
78	культуры и	8	3
79	уже не	3	3
80	в значительной	6	3
81	того что	2	3
82	и даже	8	3
83	всегда и	2	3
84	в таком	2	3
85	в других	3	3
86	в одном	5	3
87	начиная с	2	2
88	не могут	3	2
89	с его	5	2
90	одно из	6	2
91	перестает быть	3	2
92	пор еще	3	2
93	связана с	5	2
94	при таком	2	2
95	в них	5	2
96	превращается в	5	2
97	и особенно	2	2
98	связанный с	3	2
99	еще только	2	2
100	но при	2	2
101	на все	2	2
102	прежде всего	11	2
103	или иной	5	2
104	исторического развития	2	2
105	и здесь	3	2
106	его от	2	2
107	по своему	8	2
108	так например	2	2
109	что мы	2	2
110	еще не	6	2
111	они в	2	2
112	некоторые из	2	2
113	значительной мере	2	2
114	той или	5	2
115	не к	2	2
116	жизни и	7	2
117	во всех	9	2
118	в процессе	2	2
119	связь с	5	2
120	приводит к	2	2
121	особенно в	2	2
122	этом отношении	3	2
123	одновременно и	2	2
124	можно только	4	2
125	в самой	3	2
126	одним из	2	2
127	и на	11	2
128	связан с	3	2
129	сказать что	6	2
130	не в	4	2
131	различия между	2	2
132	и наконец	2	2
133	совершенно иной	2	2
134	по своей	3	2
135	и все	5	2
136	и это	2	2
137	между тем	5	2
138	в виду	3	2
