N	2gram	Potebnia_M_2	Tvorches
1	и в	24	20
2	не только	15	13
3	и т	6	13
4	никогда не	4	11
5	т д	3	11
6	как бы	9	11
7	в его	2	10
8	таким образом	11	10
9	в то	6	10
10	и его	2	9
11	и не	19	9
12	прежде всего	7	8
13	в том	18	8
14	при этом	13	8
15	но и	9	8
16	может быть	23	8
17	в этом	8	8
18	это не	3	7
19	же время	2	7
20	что в	16	7
21	не может	12	7
22	то же	12	7
23	потому что	49	7
24	у него	2	6
25	что он	4	6
26	как и	7	6
27	в целом	3	6
28	так и	5	6
29	все это	2	6
30	а не	18	6
31	но это	3	5
32	еще не	4	5
33	но не	12	5
34	например в	3	5
35	все же	5	5
36	так же	2	5
37	и на	8	5
38	о том	5	5
39	то есть	30	5
40	в душе	23	4
41	что у	2	4
42	и от	3	4
43	мы не	11	4
44	том что	8	4
45	мы видим	2	4
46	что они	5	4
47	хотя и	3	4
48	что она	3	4
49	как в	10	4
50	а а	2	4
51	если не	4	4
52	все эти	2	4
53	тем самым	4	4
54	не в	13	4
55	а в	8	4
56	в чем	7	4
57	и потому	2	4
58	если бы	11	4
59	но в	4	4
60	место в	4	3
61	а с	2	3
62	превращается в	2	3
63	несколько раз	2	3
64	человека и	3	3
65	к этому	2	3
66	с ним	5	3
67	быть может	7	3
68	одна из	4	3
69	так например	3	3
70	для него	10	3
71	что не	5	3
72	в самом	4	3
73	это определение	2	3
74	в котором	4	3
75	один из	2	3
76	в нем	9	3
77	то что	20	3
78	и это	2	3
79	вместе с	11	3
80	сих пор	4	3
81	по отношению	2	3
82	тогда как	10	3
83	так как	10	3
84	человека в	3	3
85	уже не	4	3
86	в таком	4	3
87	тем что	7	3
88	в себе	10	3
89	его в	3	3
90	боль в	2	3
91	между тем	6	3
92	до сих	4	3
93	уже в	5	2
94	зависит от	2	2
95	они имеют	2	2
96	не менее	5	2
97	и есть	2	2
98	с другой	6	2
99	по крайней	5	2
100	в одном	6	2
101	вовсе не	9	2
102	во всяком	7	2
103	такой же	4	2
104	что на	3	2
105	крайней мере	5	2
106	что его	3	2
107	у нас	2	2
108	так что	10	2
109	при виде	3	2
110	на ней	3	2
111	а скорее	2	2
112	и если	4	2
113	но если	2	2
114	всяком случае	7	2
115	только для	5	2
116	но эти	2	2
117	на него	3	2
118	и тогда	3	2
119	так в	4	2
120	т п	3	2
121	бы не	5	2
122	не было	6	2
123	и других	2	2
124	самом деле	2	2
125	и что	4	2
126	и у	3	2
127	другой стороны	2	2
128	не так	3	2
129	и по	2	2
130	друг друга	2	2
131	рядом с	3	2
132	во многих	3	2
133	с другими	5	2
134	с ними	3	2
135	не столько	2	2
136	из них	5	2
137	могут быть	8	2
138	в которой	5	2
139	и вообще	3	2
140	и только	6	2
141	только в	11	2
142	можно принять	2	2
143	таком случае	2	2
144	так сказать	4	2
145	их в	2	2
146	к которому	2	2
147	и поэтому	2	2
148	одном из	4	2
