N	2gram	Berdyaev_V_1	FransuaR
1	и в	16	49
2	прежде всего	2	19
3	в его	4	18
4	не только	2	17
5	и не	20	15
6	в этом	4	15
7	в них	3	13
8	только в	2	13
9	но и	5	13
10	как и	4	11
11	как бы	5	11
12	все это	5	9
13	для него	2	9
14	в нем	4	9
15	один из	2	7
16	жизни и	3	7
17	все эти	3	7
18	то что	9	6
19	в истории	8	6
20	в себя	2	6
21	во всех	3	6
22	так и	4	6
23	так как	9	6
24	с его	3	5
25	никогда не	3	5
26	но не	2	5
27	тот же	3	5
28	и потому	7	5
29	в своей	3	5
30	в духе	2	4
31	и во	2	4
32	в жизни	3	4
33	том что	2	4
34	одна из	2	4
35	и над	2	4
36	в этих	3	4
37	в форме	2	4
38	не было	3	4
39	а в	2	4
40	лишь в	3	4
41	тем что	2	4
42	с ним	2	4
43	но в	3	4
44	превращается в	3	3
45	человека и	6	3
46	что он	4	3
47	в том	3	3
48	да и	2	3
49	ни в	3	3
50	на земле	7	3
51	и все	4	3
52	можно было	2	3
53	их в	3	3
54	духа и	2	3
55	и это	2	3
56	что в	3	2
57	для них	2	2
58	могут быть	2	2
59	но это	3	2
60	что они	7	2
61	все что	4	2
62	еще не	8	2
63	хотя и	5	2
64	в ней	4	2
65	в мире	5	2
66	и за	2	2
67	ее в	2	2
68	того чтобы	2	2
69	во всяком	2	2
70	в конце	3	2
