N	2gram	Bakhtin_Pr_3	FransuaR
1	и в	34	49
2	прежде всего	15	19
3	в его	22	18
4	не только	10	17
5	и его	16	17
6	и на	6	17
7	и не	29	15
8	в этом	16	15
9	в них	2	13
10	только в	6	13
11	но и	12	13
12	во время	2	12
13	как и	18	11
14	как бы	27	11
15	вовсе не	11	10
16	все это	16	9
17	для него	13	9
18	в нем	19	9
19	в сущности	11	8
20	отношение к	6	8
21	все же	7	7
22	один из	2	7
23	жизни и	3	7
24	не может	19	7
25	таким образом	5	7
26	то же	14	7
27	все эти	4	7
28	о мире	8	7
29	как мы	7	7
30	на протяжении	5	7
31	то что	11	6
32	же время	12	6
33	мы уже	6	6
34	во всех	2	6
35	так и	6	6
36	рядом с	4	6
37	сказать что	2	6
38	и с	15	6
39	но он	3	6
40	точки зрения	8	6
41	в то	12	6
42	так как	4	6
43	в творчестве	3	6
44	с его	6	5
45	никогда не	8	5
46	в своем	2	5
47	уже в	3	5
48	протяжении всего	4	5
49	в начале	4	5
50	но не	4	5
51	при этом	4	5
52	тот же	2	5
53	может быть	19	5
54	и потому	2	5
55	уже говорили	3	5
56	в своей	3	5
57	с точки	4	5
58	с другой	4	4
59	и во	3	4
60	в жизни	2	4
61	и к	12	4
62	в себе	6	4
63	том что	3	4
64	но все	5	4
65	благодаря этому	2	4
66	в форме	2	4
67	не было	2	4
68	а в	5	4
69	лишь в	5	4
70	как на	2	4
71	характер и	3	4
72	тем что	4	4
73	там где	7	4
74	с ним	8	4
75	но в	16	4
76	всех этих	2	3
77	о чем	2	3
78	в одном	5	3
79	его целом	2	3
80	что он	23	3
81	в ее	3	3
82	в том	3	3
83	да и	4	3
84	во всем	3	3
85	но именно	2	3
86	было бы	2	3
87	из них	5	3
88	в самом	8	3
89	наконец в	3	3
90	даже в	5	3
91	и со	2	3
92	раз в	2	3
93	с ее	3	3
94	мы видели	3	3
95	ни в	4	3
96	связан с	2	3
97	другой стороны	3	3
98	и все	19	3
99	и вот	5	3
100	только с	3	3
101	к нему	14	3
102	так в	2	3
103	их в	3	3
104	и вообще	2	3
105	далеко не	3	3
106	о том	2	3
107	и это	4	3
108	почти все	2	3
109	в плане	6	3
110	мире и	2	3
111	в виду	3	3
112	под влиянием	3	2
113	диалога в	2	2
114	человек в	2	2
115	сознания и	3	2
116	что в	7	2
117	за пределы	2	2
118	понятно что	2	2
119	та же	2	2
120	даже и	4	2
121	это в	2	2
122	вследствие этого	2	2
123	в отношении	9	2
124	и своего	3	2
125	это и	2	2
126	но это	4	2
127	что они	6	2
128	громадное значение	2	2
129	и без	2	2
130	ничего не	4	2
131	до конца	3	2
132	в пределах	6	2
133	еще не	4	2
134	со всеми	2	2
135	в произведениях	2	2
136	у него	4	2
137	хотя и	3	2
138	в ней	3	2
139	к ней	2	2
140	в него	3	2
141	еще в	3	2
142	себе и	5	2
143	в мире	4	2
144	вполне понятно	2	2
145	вместе с	4	2
146	на самом	11	2
147	и даже	7	2
148	и прежде	4	2
149	так же	8	2
150	особенно в	2	2
151	жизнь и	2	2
152	тому как	2	2
153	во всяком	5	2
154	он дает	2	2
155	нуждается в	3	2
156	подобно тому	2	2
157	на его	4	2
158	как к	4	2
159	в другом	8	2
160	мы должны	5	2
161	в конце	5	2
162	он как	4	2
163	всяком случае	5	2
