N	2gram	Bakhtin_Fr_7	Vladivir
1	и в	41	30
2	в году	5	24
3	то что	8	20
4	в этом	15	20
5	у него	6	19
6	в том	11	18
7	и не	7	18
8	и с	4	14
9	что он	3	13
10	в конце	8	13
11	том что	4	12
12	что в	9	12
13	не только	5	12
14	в его	12	11
15	а в	5	11
16	как мы	11	11
17	а также	2	10
18	не было	3	10
19	года он	2	10
20	не в	9	9
21	для него	6	9
22	кроме того	3	9
23	было бы	4	9
24	потому что	5	9
25	не может	3	9
26	в то	10	9
27	в своем	9	8
28	вместе с	5	8
29	но и	9	8
30	в связи	2	8
31	не мог	2	8
32	но в	8	8
33	никогда не	2	7
34	точки зрения	5	7
35	и все	14	7
36	ни в	6	7
37	до конца	2	7
38	может быть	4	7
39	а не	2	7
40	то есть	20	7
41	хотя и	4	6
42	к этому	5	6
43	прежде всего	11	6
44	и к	5	6
45	он был	3	6
46	только в	6	6
47	во всяком	2	6
48	в себе	11	6
49	жизни и	3	6
50	и его	9	6
51	также и	2	6
52	и то	2	5
53	как и	14	5
54	при этом	3	5
55	того же	3	5
56	тот же	2	5
57	в своей	3	5
58	как бы	7	5
59	другими словами	2	5
60	так и	10	5
61	все это	10	5
62	с этим	2	5
63	в течение	2	5
64	того что	2	5
65	в результате	2	5
66	все эти	13	5
67	так как	3	5
68	с ним	2	5
69	совсем не	3	4
70	с его	2	4
71	именно в	2	4
72	в это	3	4
73	я не	3	4
74	вовсе не	7	4
75	все существующее	2	4
76	его в	3	4
77	в этой	13	4
78	что это	4	4
79	несмотря на	3	4
80	в ней	5	4
81	он не	4	4
82	в нем	7	4
83	не есть	2	4
84	в этих	2	4
85	время в	2	4
86	то же	13	4
87	и наконец	4	4
88	так же	5	4
89	той же	3	4
90	и на	4	4
91	но это	3	4
92	о том	6	4
93	в которой	2	4
94	отношение к	2	4
95	это было	2	4
96	учение о	2	3
97	уже в	5	3
98	в них	7	3
99	в отношении	3	3
100	это в	3	3
101	же время	9	3
102	в следующем	2	3
103	в свою	3	3
104	что и	5	3
105	по существу	8	3
106	и как	2	3
107	более или	2	3
108	в данном	2	3
109	и для	5	3
110	еще более	2	3
111	с точки	3	3
112	во всех	3	3
113	или менее	2	3
114	как в	5	3
115	таким образом	19	3
116	и вот	2	3
117	уже не	2	3
118	должно быть	4	3
119	но он	4	3
120	и это	5	3
121	дело в	2	3
122	мы сейчас	2	3
123	конце концов	4	3
124	в области	2	3
125	к нему	5	2
126	и есть	3	2
127	но по	2	2
128	это не	6	2
129	и от	8	2
130	с начала	2	2
131	мы видели	5	2
132	к тому	2	2
133	же в	2	2
134	свою очередь	3	2
135	на этом	5	2
136	по своему	2	2
137	есть и	3	2
138	и может	2	2
139	после того	4	2
140	во второй	2	2
141	мы уже	12	2
142	в сущности	4	2
143	и потому	3	2
144	о нем	3	2
145	в виду	4	2
146	был в	2	2
147	не имеет	3	2
148	начала и	2	2
149	и до	6	2
150	первых двух	2	2
151	в их	3	2
152	не на	3	2
153	того как	5	2
154	на земле	4	2
155	как я	4	2
156	но все	4	2
157	в той	3	2
158	к брату	3	2
159	в чем	2	2
160	и по	3	2
161	те кто	2	2
162	можно было	3	2
163	нас в	3	2
164	их в	2	2
165	в более	4	2
166	и во	2	2
167	он дает	4	2
168	было написано	3	2
169	которой он	2	2
170	как он	2	2
171	ничего не	4	2
172	мы не	2	2
