N	2gram	Savitsky_P_1	Komedia
1	и в	14	22
2	т е	3	13
3	том что	4	12
4	в том	9	11
5	но и	6	11
6	не только	17	10
7	из них	2	10
8	в то	7	10
9	и т	3	9
10	может быть	5	9
11	и не	12	8
12	и других	2	7
13	что в	4	6
14	в отношении	10	6
15	то же	9	6
16	не в	5	6
17	а в	4	6
18	с другой	5	5
19	прежде всего	3	5
20	в его	2	5
21	все это	2	5
22	потому что	3	5
23	между тем	3	5
24	именно в	2	4
25	же в	4	4
26	в качестве	9	4
27	же время	7	4
28	а также	4	4
29	в котором	4	4
30	в нем	3	4
31	и вот	2	4
32	точки зрения	3	4
33	но в	9	4
34	главным образом	2	3
35	не менее	2	3
36	в них	2	3
37	и как	3	3
38	тот же	3	3
39	одной стороны	3	3
40	в начале	2	3
41	г и	2	3
42	в частности	2	3
43	и о	5	3
44	да и	2	3
45	хотя и	3	3
46	с одной	3	3
47	и и	2	3
48	мы не	3	3
49	как раз	2	3
50	в этом	10	3
51	и с	2	3
52	в виде	2	3
53	могут быть	3	3
54	только в	7	3
55	для них	2	2
56	и без	3	2
57	столь же	3	2
58	точек зрения	2	2
59	одна из	2	2
60	но не	3	2
61	было бы	6	2
62	между прочим	2	2
63	и тем	2	2
64	то что	4	2
65	не к	2	2
66	наряду с	3	2
67	со стороны	2	2
68	вслед за	3	2
69	не может	4	2
70	в силу	2	2
71	в себе	3	2
72	и право	2	2
73	в области	11	2
