N	3gram	Bakhtin_Fr_1	formyVre
1	как мы уже	5	8
2	и в других	2	4
3	в том числе	10	4
4	вполне понятно что	2	4
5	к себе самому	2	4
6	мы уже говорили	7	3
7	в этом отношении	3	3
8	до сих пор	4	3
9	мы уже сказали	3	2
10	той или иной	5	2
11	в нем в	2	2
12	с точки зрения	3	2
13	с одной стороны	2	2
14	том числе и	7	2
15	и др в	2	2
16	дело в том	2	2
17	в отличие от	4	2
18	в xvii веке	2	2
19	как раз и	2	2
20	и в частности	2	2
21	существенную роль в	2	2
22	и прежде всего	3	2
23	в том что	6	2
24	но и в	2	2
25	но все же	2	2
