N	2gram	Vygotskiy__3	Dialekti
1	не есть	3	47
2	и не	10	30
3	может быть	13	20
4	и в	25	19
5	не только	6	19
6	по себе	7	18
7	в себе	2	15
8	то что	15	14
9	что она	5	14
10	в том	23	14
11	как бы	10	14
12	так как	12	14
13	потому что	6	14
14	но и	4	12
15	то же	2	12
16	значит что	4	12
17	точки зрения	6	12
18	и все	4	12
19	что это	5	10
20	ни в	9	10
21	как и	15	10
22	и как	5	10
23	в нем	2	10
24	так и	5	10
25	том что	20	10
26	сказать что	4	10
27	никогда не	4	9
28	не может	6	9
29	прежде всего	4	8
30	это значит	4	8
31	мы уже	5	8
32	не в	6	8
33	в этом	14	8
34	в своей	2	8
35	как это	7	7
36	но это	5	7
37	и к	5	7
38	что в	17	7
39	должно быть	2	7
40	время как	4	7
41	и то	2	7
42	так что	2	7
43	что он	6	6
44	что они	10	6
45	отнюдь не	4	6
46	в то	4	6
47	но не	6	6
48	есть и	2	6
49	того что	10	6
50	и может	2	6
51	тогда когда	4	6
52	с другой	6	5
53	в силу	6	5
54	по своему	11	5
55	в самом	3	5
56	и потому	2	5
57	что и	10	5
58	и это	4	5
59	и что	10	5
60	в смысле	4	5
61	только что	2	5
62	и его	2	5
63	но как	3	5
64	только в	10	5
65	о том	5	5
66	уже в	7	4
67	независимо от	4	4
68	в своем	4	4
69	ясно что	2	4
70	в одном	2	4
71	не могут	4	4
72	все же	6	4
73	при этом	5	4
74	то время	4	4
75	еще не	4	4
76	той или	2	4
77	он не	4	4
78	вопрос об	2	4
79	связи с	9	4
80	от того	4	4
81	все это	6	4
82	другой стороны	3	4
83	в связи	6	4
84	и только	2	4
85	таким образом	17	4
86	что оно	4	4
87	заключается в	9	4
88	и по	5	4
89	а в	4	4
90	в таком	2	4
91	могут быть	5	4
92	в каком	2	4
93	по своей	7	4
94	без этого	2	4
95	как он	3	4
96	с ним	4	4
97	не менее	6	3
98	всех этих	2	3
99	же как	6	3
100	все время	2	3
101	можно ли	2	3
102	в этих	2	3
103	и от	2	3
104	с нею	2	3
105	как они	2	3
106	об этом	2	3
107	как мы	8	3
108	но только	3	3
109	уже не	2	3
110	в этой	5	3
111	было бы	10	3
112	общения с	3	3
113	сами по	3	3
114	из них	4	3
115	и их	3	3
116	с этим	4	3
117	мы имеем	4	3
118	от этого	6	3
119	о котором	2	3
120	в один	2	3
121	его в	3	3
122	в чем	2	3
123	самого начала	6	2
124	или иная	3	2
125	та или	3	2
126	само по	2	2
127	в частности	4	2
128	в зависимости	5	2
129	этих последних	2	2
130	в какой	4	2
131	перед нами	10	2
132	человека и	5	2
133	следовательно не	2	2
134	именно в	5	2
135	в тех	2	2
136	если мы	3	2
137	к тому	4	2
138	тем не	5	2
139	же в	2	2
140	только потому	2	2
141	с самого	6	2
142	но все	2	2
143	мы видим	3	2
144	зависимости от	6	2
145	не будет	2	2
146	с тем	16	2
147	или менее	3	2
148	как известно	3	2
149	это мы	2	2
150	что с	4	2
151	мы в	2	2
152	на его	2	2
153	в сфере	2	2
154	всяком случае	4	2
155	если в	3	2
156	в мире	2	2
157	тому что	2	2
158	так же	17	2
159	того как	3	2
160	с ее	5	2
161	с одной	5	2
162	как в	9	2
163	того и	2	2
164	тем же	4	2
165	или в	2	2
166	или иначе	2	2
167	с ними	3	2
168	в своих	2	2
169	в результате	3	2
170	их в	3	2
171	между тем	3	2
172	не как	3	2
173	тем что	8	2
174	в виде	3	2
175	что мы	7	2
176	мы должны	6	2
177	того или	2	2
178	во всяком	4	2
179	но всегда	2	2
180	что эти	3	2
181	все эти	7	2
182	ни на	2	2
183	в области	7	2
184	что по	2	2
185	которые не	4	2
186	в жизни	3	2
187	вместе с	14	2
188	на этом	3	2
