N	2gram	Bakhtin_KF_1	Formalny
1	и в	24	38
2	в этом	14	27
3	может быть	45	23
4	и пр	3	21
5	и его	17	21
6	и не	26	20
7	прежде всего	2	15
8	не в	12	15
9	не может	27	14
10	в нем	28	13
11	но и	9	13
12	с тем	2	11
13	в том	6	11
14	вовсе не	7	11
15	в его	40	10
16	как и	5	9
17	при этом	4	9
18	в процессе	2	9
19	не только	5	9
20	отнюдь не	6	8
21	что и	7	8
22	все же	5	8
23	так и	2	8
24	самом деле	3	8
25	тем что	3	8
26	точки зрения	12	8
27	что в	4	7
28	по себе	2	7
29	для него	8	7
30	в своей	10	7
31	в корне	2	7
32	лишь в	8	7
33	уже не	7	7
34	с точки	9	7
35	не было	8	6
36	то что	7	6
37	и ее	2	6
38	в ней	3	6
39	в этой	2	6
40	было бы	8	6
41	в их	8	6
42	то же	5	6
43	все эти	10	6
44	а не	17	6
45	могут быть	3	6
46	он не	6	6
47	только в	16	6
48	а в	4	6
49	хотя бы	4	6
50	должна быть	4	5
51	если бы	8	5
52	или иного	3	5
53	что он	2	5
54	именно в	5	5
55	это и	2	5
56	же время	2	5
57	во всех	11	5
58	и только	6	5
59	и для	9	5
60	еще более	2	5
61	сводится к	2	5
62	в основе	5	5
63	говорить о	2	5
64	в то	3	5
65	независимо от	3	4
66	оно не	2	4
67	не как	4	4
68	раз и	2	4
69	к этому	2	4
70	лишь как	2	4
71	все остальное	2	4
72	совершенно не	6	4
73	того или	3	4
74	не о	2	4
75	как бы	9	4
76	как в	2	4
77	входит в	3	4
78	что не	3	4
79	там где	5	4
80	здесь не	3	4
81	ничего не	3	4
82	но в	5	4
83	а лишь	3	3
84	всех этих	3	3
85	место в	5	3
86	и может	3	3
87	а как	2	3
88	можно и	2	3
89	и здесь	7	3
90	и как	2	3
91	но все	5	3
92	время и	5	3
93	его с	2	3
94	не есть	20	3
95	в целом	10	3
96	жизни и	8	3
97	и их	6	3
98	быть и	3	3
99	смысла в	2	3
100	все это	10	3
101	на самом	3	3
102	к нему	12	3
103	именно на	2	3
104	того что	3	3
105	того чтобы	2	3
106	для того	3	3
107	менее всего	6	3
108	мы не	3	3
109	и на	3	3
110	он и	2	3
111	как к	2	3
112	слова в	2	3
113	но ведь	5	3
114	и все	7	3
115	его в	5	3
116	что это	3	3
117	в области	2	3
118	это было	2	3
119	от этого	2	3
120	времени и	4	2
121	смысла и	2	2
122	а все	3	2
123	никогда не	5	2
124	в качестве	2	2
125	тому что	2	2
126	для этого	2	2
127	единства и	2	2
128	от его	5	2
129	отвлечение от	5	2
130	это не	10	2
131	ее и	6	2
132	нем как	4	2
133	его как	5	2
134	в ее	16	2
135	до конца	3	2
136	включая сюда	2	2
137	было и	2	2
138	как его	4	2
139	себе а	2	2
140	том что	4	2
141	но это	6	2
142	от него	3	2
143	но не	12	2
144	совсем не	2	2
145	на нем	2	2
146	но как	5	2
147	ее как	2	2
148	ни одна	2	2
149	едва ли	2	2
150	в единстве	7	2
151	на язык	3	2
152	в котором	24	2
153	для нее	7	2
154	один из	2	2
155	и тем	3	2
156	этом смысле	3	2
157	не будет	2	2
158	отношение к	5	2
159	ни в	12	2
160	не по	4	2
161	со стороны	7	2
162	во всей	4	2
163	поскольку он	2	2
164	смысл и	6	2
165	нигде не	3	2
166	то ни	2	2
167	как предмет	2	2
168	и других	2	2
169	это противопоставление	2	2
170	место и	2	2
171	тем самым	4	2
172	не имеет	5	2
173	должно быть	6	2
174	есть лишь	5	2
175	с ними	3	2
176	и то	2	2
177	и совершенно	3	2
178	между тем	4	2
179	предмета в	2	2
180	и пространство	4	2
181	и это	12	2
182	стал бы	2	2
183	что эта	2	2
184	и этим	3	2
185	подхода к	2	2
186	в чем	4	2
187	потому что	2	2
188	с ним	5	2
189	та же	2	2
190	в виду	3	2
191	из него	3	2
