N	2gram	Tiupa_Narr_1	PoTuStor
1	может быть	25	17
2	и в	19	16
3	прежде всего	4	9
4	в этом	17	9
5	и только	2	9
6	совершенно не	2	8
7	и его	5	8
8	и с	4	8
9	точки зрения	10	8
10	не может	10	8
11	с его	6	7
12	сказать что	4	7
13	не только	32	7
14	с точки	2	6
15	самом деле	2	6
16	для него	2	6
17	при этом	9	6
18	отношение к	2	5
19	все эти	2	5
20	ни в	3	5
21	нуждается в	5	5
22	еще не	7	5
23	как бы	4	5
24	в нем	4	4
25	отнюдь не	5	4
26	но и	23	4
27	так и	9	4
28	хотя бы	4	4
29	и все	2	4
30	и не	20	4
31	как мы	3	4
32	и ее	2	4
33	можно сказать	5	4
34	и даже	3	4
35	и на	3	4
36	в этой	5	4
37	с ее	3	4
38	только в	4	4
39	его в	2	4
40	но в	6	4
41	в его	9	4
42	что в	3	3
43	жизни и	3	3
44	и др	2	3
45	могут быть	3	3
46	матери и	4	3
47	даже не	3	3
48	отношения к	2	3
49	к себе	5	3
50	те же	4	3
51	в том	18	3
52	а в	11	3
53	том что	14	3
54	и как	5	3
55	то что	11	3
56	в основе	5	3
57	мира и	2	3
58	как это	6	3
59	в области	2	3
60	в конечном	3	3
61	и потому	2	3
62	между ними	2	3
63	не существует	3	2
64	не менее	3	2
65	нет и	2	2
66	один из	3	2
67	не есть	3	2
68	ни было	3	2
69	же как	3	2
70	не будет	3	2
71	конечном счете	2	2
72	в частности	14	2
73	никогда не	3	2
74	что не	4	2
75	между собой	2	2
76	во всей	2	2
77	оно не	2	2
78	из этих	3	2
79	то же	4	2
80	быть может	2	2
81	сводится к	3	2
82	что он	6	2
83	и т.п	8	2
84	что на	2	2
85	что мы	2	2
86	на первый	2	2
87	у него	4	2
88	и для	2	2
89	в область	2	2
90	как и	7	2
91	они не	2	2
92	так же	2	2
93	есть в	2	2
94	не на	2	2
95	он не	3	2
96	при всей	4	2
97	всех его	2	2
98	говорить о	2	2
99	на протяжении	6	2
100	в пределах	2	2
101	было бы	4	2
102	что это	3	2
103	все то	2	2
104	о том	6	2
105	но как	2	2
106	себя и	2	2
