N	2gram	Bakhtin_fo_1	VrazhdaK
1	не только	9	9
2	в этом	25	8
3	и в	50	8
4	но и	8	7
5	что в	5	7
6	то что	6	7
7	и все	6	7
8	в котором	4	6
9	в нем	24	6
10	все же	6	6
11	и даже	2	6
12	в романе	32	6
13	как и	8	6
14	в начале	3	6
15	но в	10	6
16	и с	4	6
17	то же	11	5
18	не было	7	5
19	и не	14	5
20	у него	6	5
21	об этом	2	5
22	в то	9	5
23	же время	9	5
24	во многом	2	4
25	уже в	2	4
26	для нас	2	4
27	как бы	2	4
28	все это	4	4
29	это не	6	4
30	так же	6	4
31	с ним	2	4
32	может быть	11	4
33	при этом	3	4
34	в истории	2	4
35	в ней	4	4
36	в виду	3	4
37	в этот	2	3
38	и уже	3	3
39	с его	9	3
40	связи с	6	3
41	в своем	4	3
42	и во	7	3
43	в связи	5	3
44	в конце	9	3
45	к этому	3	3
46	человека в	17	3
47	и у	5	3
48	в том	9	3
49	раз в	4	3
50	и его	16	3
51	том что	4	3
52	и как	10	3
53	тем что	2	3
54	в его	13	3
55	далеко не	2	3
56	его в	3	3
57	наряду с	5	3
58	но он	2	3
59	в чем	2	3
60	он не	5	3
61	и т.п	4	2
62	место в	2	2
63	в своей	2	2
64	в честь	2	2
65	и это	4	2
66	в роман	4	2
67	время и	4	2
68	никогда не	2	2
69	вместе с	3	2
70	отнюдь не	5	2
71	его и	2	2
72	в них	4	2
73	как раз	13	2
74	не может	6	2
75	а в	3	2
76	отношения к	3	2
77	таким образом	11	2
78	рядом с	2	2
79	в той	4	2
80	уже не	2	2
81	к себе	4	2
82	с точки	2	2
83	же в	3	2
84	на основе	2	2
85	и то	4	2
86	же как	2	2
87	их в	3	2
88	точки зрения	5	2
89	в свою	2	2
90	и ее	3	2
91	и стал	2	2
92	в себе	3	2
93	отношение к	2	2
94	для него	2	2
95	еще не	5	2
96	в это	2	2
97	его на	2	2
98	одна из	2	2
99	к ним	2	2
100	том же	2	2
101	а также	2	2
