N	2gram	Losev_Vlad_2	Myslijsy
1	потому что	9	49
2	для нас	7	31
3	то есть	7	30
4	и в	30	24
5	может быть	7	23
6	то что	20	20
7	и не	18	19
8	а не	7	18
9	в том	18	18
10	что в	12	16
11	по себе	5	15
12	не только	12	15
13	того же	5	14
14	при этом	5	13
15	было бы	9	13
16	не в	9	13
17	но не	3	12
18	не может	9	12
19	то же	4	12
20	что и	3	11
21	вместе с	8	11
22	мы не	2	11
23	только в	6	11
24	таким образом	3	11
25	для него	9	10
26	в себе	6	10
27	так что	5	10
28	как в	3	10
29	так как	5	10
30	тогда когда	2	10
31	точно так	3	9
32	вовсе не	4	9
33	в нем	4	9
34	как бы	5	9
35	но и	8	9
36	под влиянием	3	8
37	а в	11	8
38	том что	12	8
39	более или	3	8
40	или менее	3	8
41	и на	4	8
42	в этом	20	8
43	прежде всего	6	7
44	во всяком	6	7
45	всяком случае	6	7
46	во всех	3	7
47	как и	5	7
48	того что	5	7
49	с этим	5	7
50	в чем	2	7
51	того как	2	7
52	что если	2	6
53	связи с	8	6
54	не есть	4	6
55	и как	3	6
56	свою очередь	2	6
57	в свою	3	6
58	по поводу	4	6
59	тем не	6	6
60	не было	10	6
61	не имеет	2	6
62	на другие	2	6
63	в то	9	6
64	уже в	3	5
65	не менее	7	5
66	по крайней	4	5
67	с ним	5	5
68	крайней мере	4	5
69	же в	2	5
70	тот же	5	5
71	что не	2	5
72	на то	2	5
73	о том	4	5
74	так и	5	5
75	в них	3	5
76	для того	2	5
77	все же	9	5
78	в которой	4	5
79	сам по	2	4
80	никогда не	7	4
81	из этих	3	4
82	что он	13	4
83	уже не	3	4
84	сравнительно с	3	4
85	и если	4	4
86	в самом	2	4
87	между прочим	7	4
88	время как	2	4
89	в котором	5	4
90	с а	4	4
91	нам кажется	3	4
92	если не	2	4
93	и что	5	4
94	в таком	3	4
95	как он	2	4
96	то время	6	4
97	с тем	2	4
98	но в	8	4
99	для меня	4	4
100	что это	4	3
101	это не	2	3
102	и от	2	3
103	и все	7	3
104	на все	2	3
105	хотя и	6	3
106	то это	4	3
107	этого последнего	2	3
108	и при	2	3
109	но тем	2	3
110	и может	2	3
111	кажется что	2	3
112	но это	4	3
113	говоря о	3	3
114	в ней	4	3
115	и во	2	3
116	его в	4	3
117	в целом	4	3
118	себе в	2	3
119	со стороны	4	3
120	только тогда	2	3
121	есть нечто	2	3
122	что его	4	3
123	и притом	2	3
124	те же	3	3
125	и для	3	3
126	его не	2	3
127	той же	4	3
128	что для	2	3
129	во многих	2	3
130	и то	5	3
131	и вообще	10	3
132	в этих	4	3
133	этого не	2	2
134	всех этих	3	2
135	и есть	2	2
136	с в	4	2
137	а то	2	2
138	себе представить	2	2
139	и его	6	2
140	но он	3	2
141	хотя бы	3	2
142	не столько	3	2
143	и это	3	2
144	а к	2	2
145	к этому	6	2
146	с его	4	2
147	после того	2	2
148	мы знаем	4	2
149	у нас	6	2
150	которой мы	2	2
151	но все	2	2
152	невозможно но	2	2
153	в сравнении	2	2
154	все эти	5	2
155	совсем не	4	2
156	так же	4	2
157	было для	2	2
158	у него	19	2
159	же время	3	2
160	но что	5	2
161	в общем	2	2
162	к ней	3	2
163	его на	3	2
164	в его	11	2
165	и потому	2	2
166	с нами	2	2
167	ни с	2	2
168	можно назвать	2	2
169	все это	5	2
170	в связи	8	2
171	а а	3	2
172	только после	2	2
173	видно из	2	2
174	эти последние	4	2
175	мы находим	2	2
176	того чтобы	2	2
177	и по	2	2
178	должно быть	3	2
179	друг друга	2	2
180	отношения к	3	2
181	разницы между	2	2
182	как это	7	2
183	также что	2	2
184	нас в	2	2
185	их в	2	2
186	сказать что	11	2
187	не на	2	2
188	само по	2	2
189	даже и	3	2
190	не то	3	2
191	или по	2	2
192	мы должны	4	2
193	на этом	2	2
194	с которыми	4	2
195	а это	3	2
196	когда мы	3	2
197	это было	4	2
