N	2gram	Propp_Russ_1	FransuaR
1	и в	36	65
2	то есть	3	45
3	и др	4	24
4	как бы	5	22
5	и не	6	22
6	в том	17	16
7	в этом	12	15
8	но в	2	14
9	в нем	2	13
10	и на	10	11
11	и потому	2	10
12	не только	22	10
13	но и	16	10
14	так и	7	10
15	все эти	2	10
16	в его	2	9
17	во всех	4	9
18	все это	6	9
19	в своем	3	8
20	всех этих	2	8
21	в дальнейшем	2	8
22	и другие	13	8
23	в области	3	7
24	точки зрения	3	7
25	только в	4	7
26	главным образом	2	6
27	том что	19	6
28	все же	5	6
29	как мы	10	6
30	еще не	4	6
31	при этом	6	6
32	может быть	8	6
33	в ней	2	6
34	на самом	2	6
35	в году	2	6
36	и у	5	6
37	одно из	5	6
38	они были	2	6
39	так как	15	6
40	в одном	3	5
41	в частности	2	5
42	в них	6	5
43	потому что	10	5
44	и пр	2	5
45	как в	5	5
46	как и	10	5
47	в своих	2	5
48	между тем	7	5
49	связи с	4	4
50	и к	3	4
51	из них	8	4
52	и до	2	4
53	в их	4	4
54	для нас	6	4
55	были связаны	2	4
56	во время	14	4
57	входит в	4	4
58	в жизни	2	4
59	что в	19	3
60	это не	10	3
61	не просто	2	3
62	в тех	4	3
63	но все	3	3
64	но это	4	3
65	связаны с	3	3
66	не были	2	3
67	с точки	3	3
68	то что	6	3
69	на этой	2	3
70	и их	4	3
71	не может	4	3
72	и других	7	3
73	уже не	6	3
74	можно говорить	2	3
75	в других	11	3
76	в более	2	3
77	далеко не	3	3
78	на весь	2	3
79	и здесь	2	3
80	с ним	2	3
81	ничего не	3	3
82	и с	2	3
83	но не	2	2
84	и многие	2	2
85	начиная с	3	2
86	к тому	4	2
87	обряды и	2	2
88	из этих	4	2
89	и начало	2	2
90	во многих	5	2
91	на все	2	2
92	значение и	2	2
93	в народной	2	2
94	его к	2	2
95	так например	6	2
96	и нового	2	2
97	его от	2	2
98	он был	2	2
99	мы видим	2	2
100	это время	2	2
101	до конца	2	2
102	в это	3	2
103	несмотря на	3	2
104	например в	2	2
105	между прочим	2	2
106	народного творчества	2	2
107	интерес к	2	2
108	хотя и	2	2
109	в основном	3	2
110	на что	2	2
111	и для	2	2
112	в целом	2	2
113	в большинстве	2	2
114	в некоторых	4	2
115	к жизни	3	2
116	приводит к	3	2
117	только на	3	2
118	в свете	2	2
119	на тех	2	2
120	того что	4	2
121	на этот	3	2
122	и по	8	2
123	или в	2	2
124	этот вопрос	2	2
125	а иногда	4	2
126	их в	3	2
127	он так	2	2
128	в этих	3	2
129	могут быть	2	2
130	о том	8	2
131	в особенности	2	2
132	большинстве случаев	2	2
