N	2gram	Bakhtin_fo_1	Morfolog
1	может быть	11	52
2	и т	8	49
3	таким образом	11	20
4	не может	6	17
5	в этих	3	16
6	могут быть	5	15
7	с этим	6	14
8	и в	50	13
9	в этом	25	13
10	эта форма	2	13
11	и др	9	12
12	так как	6	12
13	мы видим	3	11
14	связи с	6	11
15	прежде всего	15	9
16	так и	12	9
17	в связи	5	9
18	то же	11	9
19	и не	14	9
20	а не	3	9
21	с другой	2	8
22	по существу	12	8
23	что и	3	8
24	в результате	6	8
25	вопрос о	2	7
26	в качестве	3	7
27	все же	6	7
28	это не	6	6
29	не могут	3	6
30	в том	9	6
31	но не	5	6
32	а также	2	6
33	в форме	3	6
34	а в	3	6
35	если мы	2	5
36	и другие	5	5
37	в образе	5	5
38	наряду с	5	5
39	во всех	6	5
40	далеко не	2	5
41	как бы	2	5
42	один из	3	5
43	то что	6	5
44	или в	3	5
45	потому что	4	5
46	мы не	3	5
47	что в	5	4
48	и как	10	4
49	вовсе не	13	4
50	об этом	2	4
51	отношению к	5	4
52	было бы	2	4
53	не только	9	4
54	в некоторых	2	4
55	как в	6	4
56	как мы	14	4
57	тех же	2	4
58	так же	6	4
59	по отношению	3	4
60	как и	8	4
61	там где	2	4
62	хотя и	3	4
63	тем что	2	4
64	точки зрения	5	4
65	с точки	2	4
66	также и	2	4
67	его в	3	4
68	ничего не	9	4
69	в других	9	4
70	и вне	3	3
71	если бы	5	3
72	в нашем	2	3
73	между собой	4	3
74	в начале	3	3
75	он должен	2	3
76	же в	3	3
77	том что	4	3
78	но все	5	3
79	ее по	2	3
80	в целом	2	3
81	кроме того	4	3
82	в пределах	5	3
83	того чтобы	5	3
84	этого момента	2	3
85	в сущности	3	3
86	во втором	2	3
87	он не	5	3
88	не является	2	3
89	всего это	2	3
90	ни в	8	3
91	но и	8	3
92	входит в	3	3
93	по функциям	2	3
94	и по	2	3
95	и для	4	3
96	друг друга	3	3
97	можно назвать	2	3
98	и ее	3	3
99	в то	9	3
100	мы должны	2	3
101	героя и	7	3
102	но в	10	3
103	ни к	3	2
104	совсем не	2	2
105	с тем	3	2
106	в частности	6	2
107	его и	2	2
108	все действие	2	2
109	хотя бы	2	2
110	к этому	3	2
111	в различных	2	2
112	и к	2	2
113	за другом	2	2
114	только в	4	2
115	обычно в	2	2
116	смысле слова	2	2
117	то время	4	2
118	момент в	2	2
119	для него	2	2
120	одной стороны	2	2
121	одной из	3	2
122	мы уже	11	2
123	никто не	2	2
124	но для	2	2
125	себя и	3	2
126	оно не	2	2
127	быть и	2	2
128	с одной	3	2
129	все эти	9	2
130	к себе	4	2
131	того что	2	2
132	для того	5	2
133	уже не	2	2
134	не имеет	4	2
135	и его	16	2
136	друг на	2	2
137	если они	2	2
138	в каком	2	2
139	на друга	2	2
140	не знает	3	2
141	или не	2	2
142	что мы	2	2
143	друг за	2	2
144	ясно что	2	2
145	здесь не	4	2
146	одна из	2	2
147	сказать что	3	2
148	время как	5	2
