N	2gram	Tiupa_Disk_2	Myslijsy
1	потому что	4	49
2	то есть	12	30
3	и в	16	24
4	может быть	16	23
5	то что	5	20
6	и не	15	19
7	а не	14	18
8	в том	8	18
9	что в	5	16
10	не только	10	15
11	того же	2	14
12	при этом	17	13
13	не в	3	13
14	но не	7	12
15	не может	9	12
16	то же	6	12
17	что и	2	11
18	вместе с	2	11
19	только в	3	11
20	для него	5	10
21	в себе	19	10
22	как в	8	10
23	тогда как	11	10
24	в нем	7	9
25	как бы	4	9
26	но и	11	9
27	а в	2	8
28	том что	10	8
29	и на	5	8
30	в этом	16	8
31	могут быть	3	8
32	прежде всего	7	7
33	мысль о	3	7
34	как и	16	7
35	с другой	5	6
36	в одном	4	6
37	и того	3	6
38	и как	3	6
39	в ряду	2	6
40	не было	3	6
41	между тем	2	6
42	одного и	3	6
43	в то	5	6
44	не менее	7	5
45	столь же	3	5
46	о том	4	5
47	так и	9	5
48	в них	3	5
49	из них	3	5
50	все же	6	5
51	место в	2	4
52	никогда не	2	4
53	из этих	3	4
54	что он	2	4
55	уже не	3	4
56	такой же	2	4
57	еще не	6	4
58	в котором	3	4
59	заключает в	2	4
60	с одной	4	4
61	тем самым	6	4
62	тому как	2	4
63	подобно тому	2	4
64	одном из	3	4
65	но в	11	4
66	это не	3	3
67	и все	3	3
68	что на	2	3
69	одной стороны	4	3
70	и может	3	3
71	но это	3	3
72	например в	3	3
73	в ней	2	3
74	его в	3	3
75	но она	3	3
76	с таким	2	3
77	не с	2	3
78	в целом	2	3
79	со стороны	10	3
80	в языке	2	3
81	человека в	4	3
82	и для	2	3
83	как на	3	3
84	той же	2	3
85	об одном	3	3
86	и то	4	3
87	одно из	4	3
88	далеко не	2	3
89	в этих	3	3
90	и его	3	2
91	не столько	3	2
92	что ни	2	2
93	и это	2	2
94	а к	2	2
95	состоит в	16	2
96	к этому	4	2
97	с его	6	2
98	все эти	3	2
99	есть в	2	2
100	же время	5	2
101	одно и	2	2
102	в формах	2	2
103	было в	3	2
104	в его	3	2
105	можно назвать	4	2
106	все это	2	2
107	другой стороны	2	2
108	чего не	3	2
109	а с	5	2
110	в себя	2	2
111	должно быть	2	2
112	по отношению	4	2
113	их в	2	2
114	не на	2	2
115	отношения между	2	2
116	в другом	3	2
117	или по	2	2
