N	2gram	Nazirov_Tv_1	Literetu
1	а не	5	20
2	и в	21	19
3	может быть	5	17
4	своего рода	4	13
5	то же	13	12
6	и не	7	11
7	в том	7	10
8	как и	12	10
9	но и	3	10
10	же время	12	9
11	не может	4	9
12	в мире	4	9
13	в этом	6	9
14	в то	15	9
15	в стихах	2	8
16	с другой	3	8
17	не только	7	8
18	и даже	3	8
19	том что	11	7
20	то что	8	7
21	так и	2	7
22	не менее	6	6
23	однако в	2	6
24	в себе	2	6
25	при этом	7	6
26	и на	7	6
27	конечном счете	4	5
28	я не	3	5
29	одна из	2	5
30	но не	3	5
31	в качестве	2	5
32	он не	8	5
33	в конечном	4	5
34	вместе с	2	5
35	в году	7	5
36	того что	3	5
37	в принципе	2	5
38	то есть	12	5
39	что в	12	4
40	в частности	2	4
41	жизни в	6	4
42	прежде всего	4	4
43	не в	2	4
44	отнюдь не	5	4
45	того же	2	4
46	для него	6	4
47	в ней	2	4
48	в его	13	4
49	еще в	2	4
50	даже в	3	4
51	один из	4	4
52	жизни и	3	4
53	и других	3	4
54	человека в	6	4
55	так что	2	4
56	в русской	5	4
57	не случайно	4	4
58	я и	3	4
59	никогда не	3	3
60	быть может	2	3
61	личности в	2	3
62	в себя	2	3
63	что он	6	3
64	в нем	3	3
65	и как	4	3
66	одним из	4	3
67	но это	5	3
68	такой же	2	3
69	в этой	5	3
70	и он	2	3
71	данном случае	2	3
72	в их	3	3
73	так как	3	3
74	тем самым	7	3
75	а в	6	3
76	и его	6	3
77	не столько	2	3
78	и с	3	3
79	в данном	2	3
80	как к	2	3
81	уже в	3	2
82	к жизни	2	2
83	у него	7	2
84	по крайней	2	2
85	в виду	2	2
86	в жизни	2	2
87	в каждом	3	2
88	вовсе не	5	2
89	крайней мере	2	2
90	а затем	2	2
91	тем не	2	2
92	до конца	2	2
93	тот же	2	2
94	не так	3	2
95	одной из	4	2
96	в образах	2	2
97	не могу	2	2
98	свидетельствует о	2	2
99	не по	3	2
100	как бы	17	2
101	если в	2	2
102	себе не	2	2
103	был бы	2	2
104	что и	2	2
105	все же	5	2
106	с ее	3	2
107	и т	3	2
108	в целом	4	2
109	из них	2	2
110	могут быть	2	2
111	по преимуществу	2	2
112	русской литературе	4	2
113	мысли и	4	2
114	т п	2	2
115	той же	3	2
116	это как	3	2
117	но только	2	2
118	на первом	2	2
119	уже не	3	2
120	что ты	2	2
121	что не	2	2
122	и наконец	2	2
123	за то	2	2
124	хотя бы	5	2
125	на свете	2	2
126	не знает	2	2
127	в своих	5	2
128	то в	2	2
129	потому что	5	2
130	в основе	2	2
131	во имя	2	2
132	соответствии с	3	2
133	что я	3	2
134	ту же	3	2
135	о том	6	2
136	в россии	3	2
137	представляет собой	3	2
138	с ним	3	2
139	в него	2	2
140	себя как	2	2
141	но в	7	2
142	мира в	2	2
