N	2gram	Bakhtin_Pr_1	Sotsiolo
1	все это	3	7
2	в том	8	5
3	в этом	15	5
4	не в	7	3
5	и только	4	3
6	в его	43	3
7	и в	38	3
8	не только	9	3
9	как только	3	2
10	по отношению	21	2
11	еще не	7	2
12	было бы	8	2
13	она может	3	2
14	только в	13	2
15	по существу	2	2
16	таким образом	10	2
17	том что	3	2
18	далеко не	5	2
19	то же	5	2
20	отношению к	19	2
21	то что	8	2
22	может быть	26	2
23	за пределы	12	2
24	в частности	2	2
25	и что	2	2
26	но и	9	2
27	только как	6	2
28	к которому	4	2
29	как бы	22	2
30	должна быть	4	2
31	что в	7	2
