N	2gram	Medvedev_F_3	slovoVRo
1	и в	27	41
2	в нем	15	30
3	и т	11	28
4	т п	5	23
5	в романе	4	21
6	в роман	4	19
7	могут быть	4	19
8	во всех	3	17
9	но и	10	16
10	и не	30	16
11	точки зрения	16	16
12	не только	9	16
13	а не	17	15
14	то же	15	14
15	в пределах	8	14
16	может быть	25	14
17	и др	2	14
18	не может	24	14
19	и его	19	14
20	и на	3	14
21	в то	7	14
22	в сущности	2	13
23	в его	7	13
24	слова и	4	13
25	же время	7	12
26	до конца	4	12
27	как бы	8	12
28	в этом	18	12
29	так и	21	11
30	в большинстве	4	10
31	слово в	2	10
32	в той	3	10
33	или иной	2	9
34	таким образом	18	9
35	все эти	6	9
36	прежде всего	4	8
37	но в	6	8
38	как в	4	8
39	как мы	8	8
40	с точки	14	8
41	не в	12	7
42	и следовательно	3	7
43	на фоне	3	7
44	вовсе не	28	7
45	в своей	6	7
46	все же	6	7
47	в слове	4	7
48	во всяком	6	7
49	в отношении	2	6
50	того же	3	6
51	это не	3	6
52	при этом	8	6
53	и даже	2	6
54	большинстве случаев	5	6
55	в них	3	6
56	оно не	3	6
57	слова как	2	6
58	только в	8	6
59	установка на	4	6
60	с другой	6	5
61	и мир	2	5
62	роман и	2	5
63	в самом	11	5
64	всяком случае	6	5
65	слово как	3	5
66	все это	7	5
67	т д	6	5
68	в основе	3	5
69	романа и	2	5
70	как его	9	5
71	не на	3	5
72	в языке	2	5
73	так сказать	5	5
74	с определенными	2	5
75	и от	11	4
76	в каждом	5	4
77	одним из	3	4
78	в ней	5	4
79	известной степени	2	4
80	жанра в	2	4
81	с ее	2	4
82	за пределы	2	4
83	лишь в	9	4
84	оценок и	2	4
85	и формы	5	4
86	и с	3	4
87	и все	8	4
88	с его	2	4
89	всех этих	2	4
90	не как	2	4
91	входя в	2	4
92	языка как	2	4
93	данный момент	2	4
94	как и	14	4
95	в смысле	4	4
96	еще не	6	4
97	и потому	5	4
98	о нем	3	4
99	на почве	2	4
100	в процессе	15	4
101	входит в	8	4
102	другой стороны	5	4
103	и для	6	4
104	ту же	2	4
105	там где	7	4
106	ничего не	2	4
107	смысла и	4	3
108	не могут	10	3
109	все время	6	3
110	никогда не	5	3
111	хотя бы	6	3
112	формы и	3	3
113	из этих	2	3
114	переходит в	2	3
115	язык как	2	3
116	является лишь	4	3
117	к тому	4	3
118	в том	7	3
119	следовательно и	4	3
120	лишь как	3	3
121	нем и	2	3
122	в него	3	3
123	в зависимости	5	3
124	из них	2	3
125	его и	3	3
126	данном случае	4	3
127	в своем	2	3
128	того что	3	3
129	друг друга	5	3
130	вообще не	2	3
131	а иногда	2	3
132	в результате	5	3
133	в истории	5	3
134	от его	3	3
135	о том	4	3
136	его в	7	3
137	так как	9	3
138	произведения как	6	3
139	поэтому и	2	3
140	и во	2	3
141	не могло	2	3
142	романа в	3	3
143	бы ни	4	3
144	в себе	3	3
145	зависимости от	5	3
146	она не	4	3
147	было бы	6	3
148	одной из	2	3
149	конечно не	4	3
150	но оно	2	3
151	в основном	2	3
152	внутренней речи	2	3
153	из этого	4	3
154	бы и	3	3
155	поэтическом произведении	2	3
156	в данном	6	3
157	более того	6	3
158	и ее	6	3
159	в поэзии	3	3
160	социальных групп	2	2
161	же как	3	2
162	тому что	3	2
163	характерно что	2	2
164	столь же	3	2
165	на все	2	2
166	можно сказать	3	2
167	исторического развития	2	2
168	войти в	5	2
169	ни было	5	2
170	для нас	3	2
171	всякое конкретное	2	2
172	пародии на	2	2
173	мы и	3	2
174	что они	5	2
175	на этом	2	2
176	смысле слова	2	2
177	где нет	2	2
178	для того	4	2
179	между ними	15	2
180	со всею	2	2
181	зрения самого	2	2
182	был бы	2	2
183	и тем	3	2
184	в целом	4	2
185	в этих	3	2
186	от других	2	2
187	друг другу	2	2
188	xviii века	2	2
189	уже не	3	2
190	языка или	2	2
191	те же	3	2
192	а вовсе	4	2
193	у них	2	2
194	произведения и	3	2
195	так же	9	2
196	и те	4	2
197	сказать что	3	2
198	потому что	7	2
199	же и	4	2
200	пределах одной	2	2
201	свое выражение	2	2
202	автор и	2	2
203	между тем	7	2
204	в чисто	2	2
205	не является	5	2
206	нисколько не	2	2
207	в котором	2	2
208	для них	7	2
209	перестает быть	2	2
210	он может	2	2
211	между собой	4	2
212	и всякое	2	2
213	обстоит дело	4	2
214	дело не	2	2
215	произведения так	2	2
216	к этому	2	2
217	из одного	2	2
218	из своих	2	2
219	в условиях	3	2
220	у нас	3	2
221	том что	4	2
222	то в	2	2
223	одна из	2	2
224	в рамки	2	2
225	но не	5	2
226	а на	2	2
227	слов и	4	2
228	мы уже	3	2
229	совершенно не	7	2
230	предмета и	2	2
231	даже в	2	2
232	в ее	4	2
233	и речи	2	2
234	как раз	8	2
235	так в	2	2
236	социальной группы	2	2
237	на самом	14	2
238	если мы	7	2
239	только на	4	2
240	до известной	2	2
241	и эта	3	2
242	не есть	4	2
243	высказывания и	5	2
244	той же	3	2
245	роль в	4	2
246	мы не	4	2
247	определенных социальных	2	2
248	от этого	2	2
249	быть только	2	2
250	на протяжении	2	2
251	связи с	5	2
252	в единство	2	2
253	здесь не	2	2
254	в эту	2	2
