N	2gram	Losev_Prob_5	VeschiIm
1	не может	5	33
2	не только	18	31
3	может быть	7	29
4	и не	12	28
5	и в	30	26
6	то что	18	24
7	а не	5	20
8	не просто	5	18
9	есть только	3	17
10	в смысле	4	15
11	только в	9	14
12	и что	6	13
13	того что	3	13
14	по себе	2	13
15	было бы	4	12
16	но и	13	12
17	сказать что	9	12
18	все же	9	12
19	и то	5	12
20	таким образом	13	11
21	то же	2	10
22	уже не	6	10
23	в ней	3	10
24	как бы	6	10
25	потому что	13	10
26	в том	12	9
27	в самом	5	9
28	бы то	2	9
29	и с	5	9
30	прежде всего	6	9
31	то ни	2	9
32	что не	2	9
33	еще и	4	9
34	иное как	3	8
35	на то	2	8
36	что иное	3	8
37	не что	3	8
38	в себе	4	8
39	ничего не	2	8
40	также и	12	7
41	в то	4	7
42	его в	6	7
43	так как	6	7
44	том что	17	7
45	указывает на	3	7
46	не будет	2	7
47	и их	5	7
48	как раз	5	7
49	в этом	17	7
50	как с	2	7
51	так что	11	6
52	и как	6	6
53	что они	3	6
54	что в	5	6
55	жизни и	2	6
56	и только	2	6
57	в результате	7	6
58	точки зрения	10	6
59	но в	9	6
60	по крайней	4	6
61	ясно что	4	6
62	крайней мере	4	6
63	с ним	3	6
64	можно было	2	6
65	быть только	3	6
66	не менее	5	5
67	в отношении	3	5
68	это не	2	5
69	с этой	2	5
70	тем не	5	5
71	не в	7	5
72	еще не	3	5
73	и до	2	5
74	только и	3	5
75	и тут	2	5
76	а в	6	5
77	с тем	5	5
78	отнюдь не	4	5
79	в свою	2	5
80	в ее	3	5
81	у нас	7	5
82	но не	7	5
83	того же	4	5
84	для себя	5	5
85	и для	6	5
86	в чем	2	5
87	я не	2	4
88	в своем	11	4
89	с другой	6	4
90	из них	2	4
91	то и	2	4
92	точке зрения	2	4
93	и даже	14	4
94	о том	12	4
95	и более	2	4
96	и все	9	4
97	как и	7	4
98	и о	5	4
99	его на	2	4
100	что и	6	4
101	с точки	8	4
102	мы не	2	4
103	в данном	2	4
104	тем что	2	4
105	же не	4	4
106	и другое	3	3
107	никогда не	7	3
108	но даже	4	3
109	что именно	2	3
110	можно сказать	6	3
111	к тому	2	3
112	несмотря на	6	3
113	без всякого	2	3
114	как о	4	3
115	и сам	4	3
116	в нем	6	3
117	отношение к	2	3
118	себя самого	2	3
119	мы находим	7	3
120	мы имеем	2	3
121	тогда когда	4	3
122	нисколько не	5	3
123	нет никакой	3	3
124	даже и	4	3
125	в одном	3	3
126	один из	2	3
127	что он	7	3
128	и притом	5	3
129	тот же	3	3
130	в своей	22	3
131	вместе с	7	3
132	так и	7	3
133	да и	2	3
134	и тогда	2	3
135	а с	4	3
136	самом деле	2	3
137	того чтобы	2	3
138	но ясно	2	3
139	хотя бы	2	3
140	не то	2	3
141	и вообще	9	3
142	мы будем	2	2
143	это уже	2	2
144	в частности	4	2
145	человека и	4	2
146	была бы	2	2
147	ни в	4	2
148	в самой	3	2
149	но все	4	2
150	и нет	2	2
151	кроме того	2	2
152	в виду	3	2
153	и тем	3	2
154	в первой	2	2
155	данном случае	2	2
156	но только	3	2
157	тех или	2	2
158	во втором	2	2
159	не мог	4	2
160	бы на	2	2
161	так же	5	2
162	жизнь и	3	2
163	что только	2	2
164	ли в	2	2
165	говорится о	4	2
166	то есть	21	2
167	мы можем	5	2
168	на него	2	2
169	поэтому и	2	2
170	находим в	2	2
171	от этого	3	2
172	а потом	3	2
173	жизни в	4	2
174	если он	2	2
175	в силу	5	2
176	в качестве	4	2
177	наряду с	2	2
178	но еще	2	2
179	никак не	8	2
180	об этом	4	2
181	он не	3	2
182	но уже	2	2
183	когда он	2	2
184	как в	2	2
185	и сама	2	2
186	если не	4	2
187	еще более	3	2
188	и они	2	2
189	как мы	2	2
190	для того	3	2
191	при всем	2	2
192	тем же	3	2
193	и его	6	2
194	тут же	6	2
195	во всяком	2	2
196	дело в	2	2
197	в науке	2	2
198	не все	2	2
