N	2gram	Vinokur_St_3	Problema
1	и не	10	28
2	то есть	2	27
3	не только	12	24
4	только в	6	23
5	в виде	3	22
6	вовсе не	2	21
7	в том	20	20
8	и в	25	20
9	ни в	5	17
10	не просто	2	16
11	все эти	3	16
12	то что	12	15
13	потому что	5	15
14	у нас	4	14
15	было бы	7	14
16	но и	9	14
17	точки зрения	7	14
18	или иной	2	13
19	не в	6	13
20	том что	15	12
21	прежде всего	10	11
22	с точки	4	11
23	не менее	2	10
24	тем не	2	10
25	в качестве	4	10
26	не является	3	10
27	так и	5	10
28	и его	3	10
29	при помощи	2	10
30	может быть	19	9
31	все это	8	9
32	в этом	24	9
33	если бы	4	8
34	что он	19	8
35	таким образом	10	8
36	в результате	2	8
37	во всяком	4	8
38	но в	5	8
39	с другой	5	7
40	это не	7	7
41	есть в	2	7
42	еще не	2	7
43	такого рода	5	7
44	мы не	2	7
45	и тем	4	7
46	то же	5	7
47	а не	5	7
48	сказать что	4	7
49	и с	4	7
50	в ней	4	7
51	об этом	5	6
52	всех этих	3	6
53	по крайней	4	6
54	так что	11	6
55	а также	4	6
56	как и	4	6
57	но это	4	6
58	что здесь	4	6
59	крайней мере	4	6
60	в виду	2	6
61	другой стороны	5	6
62	в каком	4	6
63	мы имеем	5	6
64	но не	2	5
65	каждый раз	2	5
66	в смысле	4	5
67	можно сказать	4	5
68	и если	3	5
69	вместе с	2	5
70	как в	6	5
71	то и	2	5
72	не может	7	5
73	в них	5	5
74	так как	3	5
75	уже не	3	5
76	или в	2	5
77	в этих	11	5
78	о том	8	5
79	и ни	2	5
80	уже в	3	4
81	времени и	2	4
82	с тем	4	4
83	в отношении	2	4
84	в какой	3	4
85	и для	4	4
86	и во	2	4
87	и ее	2	4
88	что его	2	4
89	в этой	14	4
90	кроме того	3	4
91	одной из	2	4
92	несмотря на	3	4
93	в своей	4	4
94	отчет в	2	4
95	как бы	6	4
96	всяком случае	4	4
97	тем более	3	4
98	не имеет	2	4
99	и т	8	4
100	во всех	2	4
101	без всякого	2	4
102	отличается от	4	4
103	и только	2	4
104	с этим	7	4
105	а в	6	4
106	что не	2	4
107	и наконец	3	4
108	как раз	3	4
109	в то	7	4
110	в связи	3	3
111	к тому	2	3
112	и более	3	3
113	независимо от	5	3
114	все они	3	3
115	у пушкина	22	3
116	в жизни	4	3
117	ни на	2	3
118	этом смысле	4	3
119	и к	4	3
120	как мы	2	3
121	он был	3	3
122	для него	3	3
123	но все	2	3
124	это есть	4	3
125	в начале	4	3
126	связи с	3	3
127	это произведение	3	3
128	на себе	2	3
129	между прочим	3	3
130	в его	12	3
131	нет никакого	3	3
132	не так	3	3
133	здесь нет	2	3
134	что в	19	3
135	дело не	2	3
136	т д	2	3
137	не было	4	3
138	самом деле	2	3
139	для того	2	3
140	из которых	4	3
141	что мы	3	3
142	к нему	4	3
143	и на	6	3
144	тем что	19	3
145	имеем в	2	3
146	но как	2	3
147	в другом	3	3
148	в каждой	2	3
149	из этого	4	3
150	для искусства	2	3
151	в области	6	3
152	как о	2	3
153	если и	2	3
154	но они	2	2
155	все время	2	2
156	для его	2	2
157	по этому	3	2
158	для этого	2	2
159	другое дело	3	2
160	то он	2	2
161	в конце	6	2
162	была бы	4	2
163	что именно	2	2
164	с его	3	2
165	нет и	2	2
166	о которых	3	2
167	то в	4	2
168	что они	2	2
169	так чтобы	2	2
170	заключается в	2	2
171	каком смысле	2	2
172	то время	4	2
173	в стихотворении	3	2
174	говорит что	5	2
175	и может	2	2
176	в это	2	2
177	нет в	3	2
178	что это	16	2
179	на его	4	2
180	в самом	2	2
181	том чтобы	2	2
182	между собою	2	2
183	он не	5	2
184	к ней	4	2
185	относится к	4	2
186	существуют в	2	2
187	время как	4	2
188	в котором	5	2
189	себе отчет	2	2
190	все же	4	2
191	с ее	2	2
192	можно назвать	4	2
193	и тогда	2	2
194	мы находим	2	2
195	эту комедию	2	2
196	и что	3	2
197	только что	2	2
198	и по	2	2
199	а то	2	2
200	xix века	4	2
201	говорить о	3	2
202	и это	5	2
203	том смысле	2	2
204	в чем	4	2
205	в которой	4	2
206	того же	2	2
207	это было	8	2
