N	2gram	Potebnia_M_3	UchenyiS
1	и в	30	14
2	а не	15	10
3	не только	21	10
4	и не	15	8
5	прежде всего	3	8
6	то что	18	7
7	в этом	10	7
8	не может	6	7
9	в искусстве	3	6
10	может быть	28	6
11	художественное произведение	6	5
12	перестает быть	4	5
13	все это	4	5
14	то же	23	5
15	но и	19	4
16	в этой	2	4
17	в их	2	4
18	с другой	7	4
19	что такое	2	4
20	как и	10	3
21	и то	8	3
22	все же	2	3
23	не следует	5	3
24	в своей	2	3
25	произведения искусства	2	3
26	очевидно что	5	3
27	же время	5	3
28	другой стороны	4	3
29	для него	9	3
30	в то	10	3
31	не как	2	3
32	было бы	9	3
33	в области	2	3
34	смысле этого	7	2
35	том что	18	2
36	но не	7	2
37	в том	32	2
38	не все	4	2
39	художественного произведения	5	2
40	мы не	9	2
41	не есть	17	2
42	крайней мере	5	2
43	не в	15	2
44	но это	6	2
45	не столько	2	2
46	если бы	12	2
47	только в	21	2
48	и с	2	2
49	тем что	7	2
50	сих пор	3	2
51	могут быть	3	2
52	что он	6	2
53	в себе	16	2
54	в системе	2	2
55	до сих	3	2
56	что мы	8	2
57	что все	3	2
58	если не	4	2
59	этом отношении	2	2
60	в самом	8	2
61	не могут	5	2
62	по себе	16	2
63	в буквальном	2	2
64	самом деле	2	2
65	а как	2	2
66	по крайней	5	2
67	что она	3	2
68	а между	2	2
69	что и	13	2
70	в его	4	2
71	между тем	9	2
72	таким образом	14	2
73	это было	3	2
74	художественном произведении	3	2
