N	2gram	Losev_Dial_1	Psycholo
1	в том	9	37
2	и в	18	32
3	и что	12	22
4	том что	9	21
5	то что	13	21
6	потому что	14	21
7	что в	13	20
8	так же	4	18
9	может быть	17	18
10	что и	3	17
11	не может	12	17
12	точки зрения	17	17
13	что она	7	16
14	самом деле	3	16
15	что он	11	13
16	то же	10	13
17	для того	2	13
18	в этом	12	13
19	по себе	25	12
20	если мы	2	12
21	в самом	3	12
22	не только	13	12
23	так как	11	12
24	на то	5	11
25	было бы	12	11
26	в основе	3	11
27	как и	2	10
28	и т	21	10
29	но и	7	10
30	и не	30	10
31	с точки	12	10
32	никогда не	9	9
33	как в	2	9
34	что это	11	8
35	не менее	2	8
36	не в	6	8
37	т п	2	8
38	того что	2	8
39	на деле	2	8
40	к тому	4	7
41	ясно что	8	7
42	и как	7	7
43	такой же	2	7
44	а не	14	7
45	говорит что	3	7
46	все эти	2	7
47	можно было	5	7
48	что для	3	7
49	сказать что	10	7
50	только в	3	7
51	что они	3	7
52	и мы	5	6
53	и из	3	6
54	он не	3	6
55	как бы	11	6
56	что если	2	6
57	о том	4	6
58	если бы	12	6
59	отнюдь не	9	5
60	вслед за	2	5
61	в ней	3	5
62	до сих	2	5
63	сих пор	2	5
64	все это	11	5
65	как раз	4	5
66	этом отношении	2	5
67	на самом	3	5
68	только на	3	5
69	и даже	13	5
70	есть только	5	5
71	в то	6	5
72	сам по	6	4
73	и более	4	4
74	же как	2	4
75	с этой	2	4
76	утверждать что	3	4
77	есть не	3	4
78	как это	4	4
79	в чем	6	4
80	несмотря на	10	4
81	никак не	6	4
82	совершенно не	8	4
83	в нем	16	4
84	все же	5	4
85	с той	2	4
86	из них	2	4
87	жизни и	3	4
88	образом и	2	4
89	но только	3	4
90	а в	5	4
91	и все	3	4
92	мы имеем	2	4
93	мы видим	4	4
94	не имеет	15	4
95	и для	2	4
96	в данном	3	4
97	тому что	3	4
98	и с	5	4
99	могут быть	3	4
100	с этим	2	4
101	и это	2	4
102	ничего не	17	4
103	как она	7	4
104	в сознании	3	4
105	в частности	2	3
106	для этого	2	3
107	или что	2	3
108	хотя бы	6	3
109	с другой	6	3
110	не как	2	3
111	в конце	4	3
112	точно так	2	3
113	и другого	2	3
114	указывает на	3	3
115	а только	3	3
116	об этом	4	3
117	так что	15	3
118	это значит	11	3
119	что именно	2	3
120	но как	2	3
121	только как	2	3
122	в своей	2	3
123	конце концов	3	3
124	относится к	2	3
125	один из	3	3
126	то это	4	3
127	так и	9	3
128	то как	3	3
129	и их	2	3
130	были бы	2	3
131	и так	2	3
132	бы и	2	3
133	в их	3	3
134	в отношении	5	3
135	что же	3	3
136	на этом	2	3
137	еще более	3	3
138	и вот	6	3
139	и сейчас	2	3
140	время как	2	3
141	что не	7	3
142	и он	5	3
143	жизнь и	3	3
144	и совершенно	2	3
145	само по	5	3
146	в каком	8	3
147	в которых	2	3
148	и то	9	3
149	во всем	2	3
150	ни на	6	3
151	мы должны	5	3
152	отношении к	3	3
153	думать что	3	3
154	та же	3	3
155	но в	6	3
156	значит что	14	3
157	в виду	5	3
158	это было	2	3
159	мы можем	4	3
160	не существует	7	2
161	как только	2	2
162	если она	3	2
163	вещей и	2	2
164	это может	2	2
165	больше того	4	2
166	в них	3	2
167	сравнению с	2	2
168	но так	2	2
169	это не	9	2
170	и от	2	2
171	точка зрения	2	2
172	с другими	2	2
173	в каждом	2	2
174	была бы	3	2
175	этой точки	2	2
176	но эта	3	2
177	во всяком	4	2
178	ни в	15	2
179	говорит о	5	2
180	меньше всего	3	2
181	же время	4	2
182	и при	2	2
183	тем более	2	2
184	еще не	2	2
185	но не	4	2
186	и говорить	2	2
187	по сравнению	2	2
188	но что	3	2
189	она не	6	2
190	вовсе не	7	2
191	убедиться что	2	2
192	к нему	8	2
193	к ним	2	2
194	только потому	3	2
195	и следовательно	2	2
196	в его	3	2
197	в него	2	2
198	всяком случае	2	2
199	если в	3	2
200	для нее	2	2
201	его с	3	2
202	как можно	2	2
203	как он	4	2
204	в этих	5	2
205	отношение к	5	2
206	как не	2	2
207	отличается от	2	2
208	себе и	2	2
209	есть нечто	10	2
210	вплоть до	3	2
211	другой стороны	4	2
212	в особенности	5	2
213	т д	19	2
214	а с	2	2
215	не было	6	2
216	что оно	5	2
217	мы находим	7	2
218	из того	2	2
219	и другое	2	2
220	и у	2	2
221	форму и	2	2
222	то или	3	2
223	при чем	2	2
224	у них	3	2
225	но это	8	2
226	также и	7	2
227	ли это	3	2
228	мы получаем	2	2
229	в себе	11	2
230	смысл и	4	2
231	и вообще	4	2
232	может оказаться	2	2
233	значит ли	2	2
234	состоит из	3	2
235	не значит	3	2
236	заметить что	2	2
237	которая не	2	2
238	учения о	2	2
239	почему это	2	2
