N	2gram	Bakhtin_Pr_3	Morfolog
1	может быть	19	52
2	и т	8	49
3	т д	2	47
4	таким образом	5	20
5	не может	19	17
6	т е	12	16
7	с этим	2	14
8	и в	34	13
9	в этом	16	13
10	так как	4	12
11	прежде всего	15	9
12	этом случае	2	9
13	так и	6	9
14	то же	14	9
15	и не	29	9
16	а не	9	9
17	с другой	4	8
18	что и	5	8
19	вопрос о	2	7
20	все же	7	7
21	это не	5	6
22	в том	3	6
23	но не	4	6
24	в форме	2	6
25	а в	5	6
26	во время	2	6
27	подобно тому	2	6
28	не менее	3	5
29	тому как	2	5
30	мы увидим	2	5
31	во всех	2	5
32	далеко не	3	5
33	как бы	27	5
34	один из	2	5
35	то что	11	5
36	потому что	12	5
37	что в	7	4
38	и как	3	4
39	вовсе не	11	4
40	героя в	5	4
41	очень часто	2	4
42	что его	3	4
43	тем не	2	4
44	отношению к	6	4
45	было бы	2	4
46	на его	4	4
47	не только	10	4
48	как в	4	4
49	как мы	7	4
50	другой стороны	3	4
51	так же	8	4
52	по отношению	5	4
53	показать что	2	4
54	как и	18	4
55	там где	7	4
56	хотя и	3	4
57	тем что	4	4
58	точки зрения	8	4
59	с точки	4	4
60	на этом	4	4
61	его в	4	4
62	ничего не	4	4
63	только что	3	3
64	если бы	4	3
65	это уже	2	3
66	в начале	4	3
67	он должен	2	3
68	в последнем	2	3
69	к герою	7	3
70	том что	3	3
71	но все	5	3
72	но это	4	3
73	что они	6	3
74	в целом	5	3
75	в пределах	6	3
76	в сущности	11	3
77	он не	15	3
78	не является	2	3
79	ни в	4	3
80	но и	12	3
81	на него	7	3
82	с иваном	3	3
83	входит в	2	3
84	на самом	11	3
85	самом деле	13	3
86	к чему	2	3
87	к нему	14	3
88	и для	8	3
89	друг друга	2	3
90	из них	5	3
91	и ее	2	3
92	в то	12	3
93	мы должны	5	3
94	ивана в	3	3
95	героя и	9	3
96	но в	16	3
97	совсем не	3	2
98	с тем	5	2
99	в виде	4	2
100	однако в	2	2
101	его и	3	2
102	хотя бы	5	2
103	та же	2	2
104	этого не	3	2
105	что он	23	2
106	и к	12	2
107	не с	2	2
108	из его	4	2
109	то в	2	2
110	только в	6	2
111	от него	6	2
112	в большинстве	2	2
113	для него	13	2
114	мы уже	6	2
115	но для	3	2
116	себя и	8	2
117	героя из	3	2
118	благодаря этому	2	2
119	быть и	2	2
120	и только	2	2
121	а с	3	2
122	все эти	4	2
123	и что	5	2
124	к себе	17	2
125	того что	5	2
126	что такое	2	2
127	уже не	2	2
128	себя за	2	2
129	и его	16	2
130	друг на	2	2
131	на друга	2	2
132	в другом	8	2
133	самого себя	2	2
134	не знает	6	2
135	о том	2	2
136	героя к	2	2
137	герой не	2	2
138	большинстве случаев	3	2
139	сказать что	2	2
140	он старается	4	2
141	бы они	2	2
142	это было	3	2
