N	2gram	Losev_Dial_4	PoTuStor
1	может быть	17	17
2	и в	15	16
3	и пр	9	12
4	прежде всего	11	9
5	таким образом	5	9
6	в этом	11	9
7	мы можем	3	9
8	и только	2	9
9	совершенно не	3	8
10	и его	7	8
11	и с	4	8
12	точки зрения	14	8
13	не может	11	8
14	с его	5	7
15	сказать что	6	7
16	не только	8	7
17	и это	8	6
18	с точки	9	6
19	при этом	2	6
20	конечно не	2	6
21	только для	3	5
22	все эти	3	5
23	что такое	5	5
24	в чем	8	5
25	ни в	8	5
26	еще не	4	5
27	как бы	14	5
28	в нем	5	4
29	и их	2	4
30	отнюдь не	4	4
31	но и	4	4
32	так и	5	4
33	все это	9	4
34	хотя бы	4	4
35	и все	11	4
36	так как	14	4
37	и не	30	4
38	но мы	2	4
39	и ее	8	4
40	можно сказать	5	4
41	и наконец	3	4
42	и даже	6	4
43	с ними	4	4
44	и на	5	4
45	в этой	4	4
46	с ее	10	4
47	все что	2	4
48	и может	2	4
49	только в	7	4
50	в один	3	4
51	для всех	3	4
52	но в	3	4
53	в его	4	4
54	по сравнению	2	3
55	что в	7	3
56	жизни и	4	3
57	и есть	19	3
58	во всех	2	3
59	могут быть	3	3
60	вместе с	2	3
61	сравнению с	2	3
62	даже не	2	3
63	отношения к	3	3
64	в одном	4	3
65	этом смысле	4	3
66	и вот	11	3
67	учение о	5	3
68	и притом	3	3
69	крайней мере	7	3
70	в том	11	3
71	том что	10	3
72	и как	4	3
73	с их	4	3
74	то что	16	3
75	в основе	10	3
76	на этом	3	3
77	по крайней	7	3
78	тех же	2	3
79	едва ли	3	3
80	как это	2	3
81	в области	3	3
82	во всяком	2	3
83	и потому	3	3
84	не менее	2	2
85	ее в	2	2
86	нет и	2	2
87	один из	4	2
88	не могут	2	2
89	что и	6	2
90	не есть	40	2
91	не будет	2	2
92	нем нет	2	2
93	сознания и	3	2
94	другими словами	5	2
95	как не	2	2
96	в частности	2	2
97	никогда не	2	2
98	что не	3	2
99	сделать это	2	2
100	для этого	2	2
101	в них	2	2
102	если мы	5	2
103	находится в	2	2
104	во всей	2	2
105	оно не	2	2
106	с этой	2	2
107	и так	2	2
108	из этих	2	2
109	с этим	3	2
110	в жизни	5	2
111	в свое	2	2
112	то же	9	2
113	что оно	7	2
114	к этому	3	2
115	что он	7	2
116	мы не	9	2
117	что на	2	2
118	что мы	7	2
119	можем сказать	2	2
120	и по	2	2
121	и для	5	2
122	в этот	2	2
123	да еще	2	2
124	как и	7	2
125	мы видим	4	2
126	так же	4	2
127	но это	4	2
128	есть в	4	2
129	мы уже	3	2
130	чувства и	2	2
131	есть и	3	2
132	между собою	2	2
133	в каком	5	2
134	говорить о	11	2
135	и вообще	7	2
136	об его	3	2
137	было бы	9	2
138	что это	13	2
139	и мы	7	2
140	о том	5	2
141	оно и	3	2
142	в самом	2	2
143	но как	2	2
144	за пределы	3	2
145	в своей	3	2
146	и о	8	2
147	с ним	3	2
148	можно назвать	3	2
149	для меня	2	2
150	себя и	3	2
