N	2gram	Bakhtin_Pr_2	NovoeSre
1	а не	7	17
2	не может	18	16
3	и в	43	16
4	и не	29	11
5	что в	4	9
6	он не	9	8
7	в том	6	8
8	как и	14	7
9	в этом	13	7
10	может быть	23	7
11	с его	4	6
12	никогда не	9	6
13	не знает	3	6
14	не в	11	6
15	лишь в	8	6
16	но это	4	6
17	ни в	2	6
18	в нем	12	5
19	все это	5	5
20	в жизни	3	5
21	и к	3	5
22	не только	11	5
23	не менее	3	4
24	то что	7	4
25	в них	4	4
26	это не	3	4
27	не во	2	4
28	и все	6	4
29	и для	3	4
30	должно быть	4	4
31	по своему	2	4
32	прежде всего	10	4
33	о том	5	4
34	но и	14	3
35	не есть	2	3
36	должна быть	3	3
37	в своей	4	3
38	с другой	4	3
39	вопрос о	2	3
40	человека и	2	3
41	во всех	4	3
42	и пр	2	3
43	к тому	4	3
44	что такое	2	3
45	конечно не	2	3
46	как в	2	3
47	она не	3	3
48	еще не	9	3
49	за пределы	3	3
50	сказать что	2	3
51	времени и	2	2
52	я не	4	2
53	себя в	3	2
54	у него	6	2
55	политики и	2	2
56	в нашу	2	2
57	так и	3	2
58	для этого	2	2
59	в категориях	2	2
60	мысли и	2	2
61	другой стороны	3	2
62	а в	5	2
63	этом смысле	2	2
64	все эти	5	2
65	быть в	2	2
66	уже не	3	2
67	будет и	2	2
68	такой же	3	2
69	и даже	3	2
70	хотя бы	2	2
71	но не	5	2
72	так же	2	2
73	по существу	3	2
74	время как	2	2
75	мы не	4	2
76	том что	2	2
77	можно было	3	2
78	есть в	3	2
79	одна из	2	2
80	и с	5	2
81	и что	5	2
82	могут быть	3	2
83	с этим	2	2
84	и на	10	2
85	в себе	5	2
86	ведь и	7	2
87	с их	2	2
88	в то	7	2
89	и это	4	2
90	для чего	2	2
91	но для	3	2
92	хотя и	5	2
93	но в	10	2
