N	2gram	Trubetskoy_1	VLabPisa
1	таким образом	22	27
2	в этом	15	26
3	и в	26	25
4	не только	10	22
5	может быть	10	21
6	хотя бы	3	20
7	и не	8	19
8	не может	4	17
9	в его	5	15
10	в процессе	2	14
11	прежде всего	2	13
12	в том	11	13
13	этом отношении	2	13
14	все это	6	12
15	с другой	8	11
16	в силу	5	11
17	из них	7	11
18	не могут	2	10
19	в качестве	3	10
20	о том	6	10
21	к этому	3	9
22	что в	9	9
23	для него	3	9
24	но и	9	9
25	то же	4	9
26	все эти	6	8
27	в своем	3	8
28	ни один	2	8
29	из этих	10	7
30	том что	7	7
31	отношению к	3	7
32	во всех	2	7
33	вместе с	15	7
34	не было	2	7
35	а не	5	7
36	в себе	6	6
37	то что	7	6
38	более или	5	6
39	главным образом	8	6
40	в нем	4	6
41	так и	6	6
42	или менее	5	6
43	между тем	2	6
44	в то	4	6
45	в результате	3	5
46	же время	2	5
47	все же	6	5
48	и при	3	5
49	связи с	9	5
50	одним из	2	5
51	как бы	12	5
52	один из	2	5
53	приводит к	2	5
54	сказать что	2	5
55	только в	4	5
56	не в	2	5
57	к тому	6	4
58	никогда не	5	4
59	в одном	3	4
60	что все	4	4
61	что он	4	4
62	с его	2	4
63	можно сказать	3	4
64	них не	2	4
65	в самом	4	4
66	когда он	3	4
67	в них	2	4
68	в связи	3	4
69	в этой	4	4
70	утверждать что	2	4
71	и к	5	3
72	во время	4	3
73	с тем	18	3
74	и как	3	3
75	и мир	2	3
76	и от	4	3
77	в конце	6	3
78	только что	2	3
79	по существу	2	3
80	мы видели	2	3
81	как о	3	3
82	вслед за	2	3
83	некоторые из	2	3
84	значительной мере	2	3
85	далеко не	4	3
86	в виду	2	3
87	в котором	4	3
88	что и	6	3
89	жизни и	2	3
90	всех других	2	3
91	именно в	2	3
92	образом в	5	3
93	в значительной	3	3
94	того что	3	3
95	и по	4	3
96	так же	5	3
97	его не	2	3
98	в которых	4	3
99	как на	8	3
100	точки зрения	13	3
101	не менее	3	2
102	том числе	5	2
103	только не	2	2
104	из себя	2	2
105	связана с	2	2
106	отличается от	2	2
107	по крайней	5	2
108	к сожалению	3	2
109	не всегда	2	2
110	из своих	2	2
111	или иной	2	2
112	от них	2	2
113	крайней мере	5	2
114	ли это	2	2
115	до сих	5	2
116	и потому	6	2
117	но не	8	2
118	числе и	4	2
119	так например	2	2
120	в пользу	2	2
121	еще не	2	2
122	одной стороны	7	2
123	мысль о	2	2
124	же самое	2	2
125	для того	5	2
126	в общем	8	2
127	одной из	5	2
128	если бы	3	2
129	мы имеем	2	2
130	к ним	3	2
131	оно является	2	2
132	конце концов	3	2
133	относится к	2	2
134	и даже	3	2
135	не вполне	3	2
136	всяком случае	6	2
137	если в	3	2
138	так называемые	3	2
139	сих пор	5	2
140	а в	4	2
141	начиная с	2	2
142	с одной	7	2
143	что оно	4	2
144	в течение	4	2
145	но с	3	2
146	этой точки	2	2
147	того чтобы	5	2
148	из которых	4	2
149	и для	5	2
150	у них	3	2
151	с другими	4	2
152	во всяком	6	2
153	лишь в	5	2
154	он в	2	2
155	он не	4	2
156	к его	2	2
157	что мы	2	2
158	которые в	2	2
159	в образе	2	2
160	в которой	3	2
161	в области	9	2
162	же как	3	2
163	тогда когда	2	2
164	но в	7	2
165	как от	2	2
