N	2gram	Voloshinov_1	Sovremen
1	не может	12	17
2	точки зрения	10	12
3	может быть	13	12
4	таким образом	7	11
5	мы не	9	9
6	в этом	10	7
7	и в	38	7
8	и не	14	6
9	как и	10	6
10	мы можем	7	6
11	только одна	2	6
12	ничего не	8	6
13	что же	8	5
14	прежде всего	21	5
15	все эти	2	5
16	и наконец	5	5
17	с точки	5	5
18	как бы	28	4
19	нет и	3	4
20	мы видели	5	4
21	если мы	4	4
22	в целом	4	4
23	жизни и	3	4
24	вместе с	5	4
25	в зависимости	5	4
26	это не	3	4
27	а в	5	4
28	вопрос о	2	4
29	не только	27	4
30	с помощью	6	4
31	в том	2	4
32	в дальнейшем	2	4
33	их в	3	4
34	из них	3	4
35	точку зрения	3	4
36	мы должны	10	4
37	зависимости от	5	4
38	так как	7	4
39	уже в	5	3
40	но мы	2	3
41	самого начала	4	3
42	все же	7	3
43	видели что	3	3
44	отнюдь не	10	3
45	между собой	2	3
46	все это	4	3
47	мы называем	4	3
48	в конце	6	3
49	то же	14	3
50	ясно что	2	3
51	в нем	4	3
52	а не	6	3
53	и к	4	3
54	из двух	2	3
55	для нас	3	3
56	у нас	4	3
57	когда мы	6	3
58	с самого	4	3
59	не в	6	3
60	в этой	6	3
61	еще не	3	3
62	при этом	9	3
63	было бы	7	3
64	и т.д	21	3
65	в одном	3	3
66	и все	4	3
67	в себе	9	3
68	в области	5	3
69	но в	5	3
70	и потому	2	3
71	так сказать	4	2
72	совершенно не	3	2
73	же мы	5	2
74	не знаем	4	2
75	что это	4	2
76	в нашем	5	2
77	жизни мы	2	2
78	еще мало	2	2
79	тем же	3	2
80	еще более	2	2
81	как мы	9	2
82	уже не	4	2
83	развития в	2	2
84	в свою	6	2
85	или иной	4	2
86	самом деле	4	2
87	роль в	3	2
88	и пр	4	2
89	из которых	3	2
90	что такое	4	2
91	к чему	2	2
92	и даже	3	2
93	он должен	3	2
94	той же	5	2
95	мы видим	3	2
96	но все	4	2
97	свою очередь	4	2
98	времени и	2	2
99	в живом	3	2
100	а на	2	2
101	с этим	2	2
102	теперь же	2	2
103	тот же	2	2
104	же самое	5	2
105	на его	5	2
106	в самом	4	2
107	в которой	7	2
108	в его	6	2
