N	2gram	Berdyaev_O_1	StatiiOP
1	и в	19	29
2	том что	2	27
3	в том	5	27
4	в этом	12	21
5	но и	13	19
6	что в	4	19
7	не только	11	19
8	о том	3	17
9	что он	3	13
10	в его	7	13
11	то что	5	11
12	все это	6	11
13	в которой	2	11
14	т е	4	10
15	в своем	2	9
16	так и	2	9
17	и не	13	9
18	потому что	9	9
19	он не	7	9
20	но в	2	8
21	с тем	2	7
22	в самом	5	7
23	в своей	2	7
24	для того	3	7
25	вопрос о	10	6
26	все же	2	6
27	того чтобы	4	6
28	и его	4	6
29	и на	2	6
30	прежде всего	9	5
31	было бы	3	5
32	как бы	3	5
33	а не	11	5
34	того что	3	5
35	в русской	3	5
36	должен был	2	4
37	что у	2	4
38	к этому	2	4
39	не в	11	4
40	для него	5	4
41	и к	2	4
42	и о	2	4
43	хотя и	2	4
44	в нем	10	4
45	ничего не	2	4
46	в другом	2	4
47	и с	2	4
48	в этих	3	3
49	но он	7	3
50	по себе	2	3
51	так что	2	3
52	до конца	7	3
53	никогда не	9	3
54	ни у	2	3
55	не было	9	3
56	тем что	2	3
57	и он	8	3
58	хотя бы	3	3
59	его не	2	3
60	в россии	5	3
61	с его	4	2
62	что и	2	2
63	он был	8	2
64	в ее	2	2
65	как и	6	2
66	в этой	5	2
67	что они	2	2
68	в истории	2	2
69	может быть	11	2
70	и потому	2	2
71	не могли	2	2
72	ее в	2	2
73	ни с	7	2
74	не может	4	2
75	все эти	4	2
76	не имеет	2	2
77	сказать что	2	2
78	которую он	2	2
79	в себе	3	2
80	было для	2	2
81	его в	2	2
82	так как	2	2
83	это было	3	2
