N	3gram	Vinokur_Ku_2	Vladivir
1	в том что	10	10
2	тем не менее	5	9
3	с точки зрения	8	6
4	не может быть	4	6
5	вместе с тем	2	6
6	в конце концов	3	5
7	точно так же	3	4
8	в этом смысле	5	3
9	в отличие от	2	3
10	само по себе	5	3
11	только в том	2	3
12	хотя бы и	2	3
13	в то же	3	3
14	во всяком случае	5	3
15	в том случае	2	3
16	то же время	3	2
17	так же как	2	2
18	в связи с	3	2
19	и в том	2	2
20	но даже и	2	2
21	и потому что	2	2
22	на то что	2	2
23	с другой стороны	7	2
24	в этом отношении	3	2
25	том случае если	2	2
26	так или иначе	2	2
