N	2gram	Tiupa_Disk_2	PoTuStor
1	может быть	16	17
2	и в	16	16
3	прежде всего	7	9
4	в этом	16	9
5	и его	3	8
6	и с	2	8
7	точки зрения	4	8
8	не может	9	8
9	с его	6	7
10	не только	10	7
11	и это	2	6
12	с точки	2	6
13	для него	5	6
14	при этом	17	6
15	я и	4	6
16	отношение к	2	5
17	все эти	3	5
18	ни в	7	5
19	еще не	6	5
20	как бы	4	5
21	в нем	7	4
22	отнюдь не	6	4
23	но и	11	4
24	так и	9	4
25	все это	2	4
26	и все	3	4
27	и не	15	4
28	и ее	3	4
29	можно сказать	3	4
30	и наконец	3	4
31	и на	5	4
32	в этой	4	4
33	с ее	2	4
34	и может	3	4
35	только в	3	4
36	его в	3	4
37	но в	11	4
38	в его	3	4
39	в этих	3	3
40	что в	5	3
41	жизни и	3	3
42	могут быть	3	3
43	вместе с	2	3
44	чем не	2	3
45	в большинстве	2	3
46	в одном	4	3
47	в том	8	3
48	а в	2	3
49	том что	10	3
50	и как	3	3
51	с их	2	3
52	то что	5	3
53	их в	2	3
54	в основе	4	3
55	реальности и	2	3
56	мира и	4	3
57	в области	2	3
58	не менее	7	2
59	может иметь	2	2
60	что и	2	2
61	же как	2	2
62	в частности	12	2
63	никогда не	2	2
64	в них	3	2
65	того же	2	2
66	из этих	3	2
67	в свое	2	2
68	то же	6	2
69	к этому	4	2
70	не знает	3	2
71	сводится к	2	2
72	что он	2	2
73	и т.п	12	2
74	что на	2	2
75	на первый	2	2
76	и для	2	2
77	как и	16	2
78	но это	3	2
79	есть в	2	2
80	не на	2	2
81	он не	3	2
82	при всей	7	2
83	момент в	2	2
84	говорить о	2	2
85	в пределах	4	2
86	о том	4	2
87	в своей	6	2
88	можно назвать	4	2
