N	2gram	Losev_Prob_2	StatiiOP
1	в и	2	130
2	и в	35	44
3	в том	12	36
4	и т	6	30
5	что в	11	30
6	том что	19	29
7	т д	6	21
8	в этом	17	21
9	вовсе не	37	19
10	то что	38	18
11	не только	24	18
12	было бы	8	17
13	а в	4	17
14	о том	18	17
15	и не	37	16
16	а не	10	16
17	может быть	18	15
18	в данном	10	14
19	в области	6	14
20	можно было	5	13
21	не в	2	12
22	у нас	18	11
23	в этой	9	11
24	самом деле	4	11
25	того чтобы	2	11
26	точки зрения	2	11
27	ясно что	8	10
28	для того	3	10
29	что он	4	10
30	но и	16	10
31	но в	6	10
32	только в	14	10
33	в отношении	4	9
34	с другой	6	9
35	если бы	4	9
36	в то	6	9
37	как и	5	9
38	того что	12	9
39	также и	12	9
40	так и	7	9
41	в его	7	9
42	во всех	2	8
43	все же	8	8
44	не может	13	8
45	но ведь	3	8
46	прежде всего	11	7
47	по поводу	2	7
48	в самом	5	7
49	для нас	9	7
50	сих пор	4	7
51	до сих	4	7
52	другой стороны	5	7
53	таким образом	4	7
54	сказать что	24	7
55	что они	3	7
56	потому что	13	6
57	из этих	3	6
58	так что	11	6
59	но это	6	6
60	что и	2	6
61	данном случае	5	6
62	что же	9	6
63	на самом	4	6
64	в той	2	6
65	во всяком	13	6
66	хотя бы	12	6
67	всяком случае	10	6
68	не менее	13	5
69	так же	5	5
70	что мы	14	5
71	совершенно не	2	5
72	в целом	3	5
73	все это	4	5
74	той же	2	5
75	то же	5	5
76	этой области	3	5
77	и даже	11	5
78	и по	3	5
79	в слове	3	5
80	и то	10	5
81	тем что	4	5
82	все эти	7	5
83	уже о	4	5
84	так как	7	5
85	речь идет	2	4
86	в частности	5	4
87	можно ли	6	4
88	что она	4	4
89	гораздо более	4	4
90	представление о	5	4
91	это в	2	4
92	вопрос о	3	4
93	или иного	5	4
94	бы и	7	4
95	это и	3	4
96	но все	2	4
97	тем более	10	4
98	является не	2	4
99	эту тему	2	4
100	и что	13	4
101	в качестве	2	4
102	никто не	3	4
103	того или	7	4
104	же и	2	4
105	как раз	8	4
106	но если	4	4
107	как бы	4	4
108	на то	6	4
109	даже не	3	4
110	не было	3	4
111	еще более	2	4
112	заключается в	4	4
113	не имеет	7	4
114	языка и	5	4
115	как будто	6	4
116	на эту	2	4
117	в основе	3	3
118	не являются	3	3
119	не существует	6	3
120	по этому	3	3
121	тому что	3	3
122	для себя	9	3
123	и с	10	3
124	не является	7	3
125	в конце	7	3
126	в тех	2	3
127	же это	5	3
128	ни в	6	3
129	да и	10	3
130	об этом	2	3
131	но не	4	3
132	и без	5	3
133	еще не	10	3
134	что не	5	3
135	и для	6	3
136	общего с	2	3
137	или иное	2	3
138	в ней	2	3
139	не значит	2	3
140	даже в	2	3
141	не все	4	3
142	и тем	4	3
143	то это	3	3
144	ни с	2	3
145	в истории	3	3
146	а именно	6	3
147	внимание на	3	3
148	ничего общего	3	3
149	и только	4	3
150	в виде	6	3
151	о значении	3	3
152	что для	3	3
153	с одной	5	3
154	что оно	2	3
155	лишь в	3	3
156	в таком	11	3
157	и вполне	4	3
158	значит что	4	3
159	в результате	4	3
160	то или	3	3
161	к сожалению	6	3
162	в каком	4	3
163	ведь и	2	3
164	и вообще	16	3
165	будто бы	5	3
166	во многих	2	3
167	без всякой	5	3
168	если это	2	3
169	с этим	5	3
170	том числе	2	2
171	что все	6	2
172	уже в	3	2
173	совсем не	7	2
174	бы не	3	2
175	всех этих	4	2
176	что до	2	2
177	и можно	3	2
178	одним и	2	2
179	бы мы	2	2
180	при таком	2	2
181	в этих	4	2
182	даже и	18	2
183	в случае	3	2
184	имеет ничего	2	2
185	в своем	4	2
186	как о	3	2
187	вообще не	4	2
188	по крайней	6	2
189	как иначе	3	2
190	в такой	2	2
191	что на	4	2
192	бы что	2	2
193	крайней мере	6	2
194	этом случае	7	2
195	и более	5	2
196	если не	4	2
197	есть в	4	2
198	при этом	3	2
199	быть и	2	2
200	случае не	4	2
201	что при	4	2
202	что с	2	2
203	она не	3	2
204	одной стороны	5	2
205	но именно	4	2
206	и сам	2	2
207	несмотря на	3	2
208	работ по	2	2
209	совпадает с	2	2
210	ведь если	4	2
211	а также	2	2
212	никаких сомнений	2	2
213	с историей	2	2
214	тем не	12	2
215	знака в	5	2
216	такого рода	15	2
217	которые в	2	2
218	конечно не	2	2
219	на него	2	2
220	без всякого	4	2
221	и их	3	2
222	и речи	3	2
223	самого же	2	2
224	допустим что	2	2
225	для этого	3	2
226	лет назад	3	2
227	еще и	5	2
228	о них	2	2
229	тем самым	7	2
230	так или	6	2
231	это вовсе	2	2
232	свидетельствует о	2	2
233	есть только	8	2
234	в каком-то	3	2
235	мы не	7	2
236	или иначе	6	2
237	ничего не	10	2
238	не знает	3	2
239	числе и	2	2
240	в своих	3	2
241	их в	4	2
242	мере в	2	2
243	он не	2	2
244	в себе	5	2
245	говорить о	10	2
246	о котором	3	2
247	этому поводу	2	2
248	то не	3	2
249	и все	5	2
250	его в	3	2
251	при помощи	8	2
252	и это	5	2
253	нас сейчас	2	2
254	ли в	2	2
255	к нему	2	2
256	только с	2	2
257	то есть	39	2
