N	2gram	Medvedev_F_2	TeoriaLi
1	не только	9	18
2	в качестве	2	17
3	и не	20	16
4	а в	6	14
5	и в	38	13
6	состоит в	2	13
7	может быть	23	12
8	так и	8	12
9	при этом	9	11
10	в этом	27	11
11	в том	11	11
12	но не	2	10
13	а не	6	10
14	и его	21	10
15	в его	10	9
16	то же	6	9
17	произведение искусства	2	8
18	сводится к	5	8
19	что в	7	8
20	но и	13	8
21	том что	2	7
22	во второй	2	7
23	в отличие	2	7
24	точки зрения	8	7
25	в то	5	7
26	только в	6	7
27	как это	2	7
28	отличие от	2	7
29	место в	3	6
30	с его	11	6
31	же время	5	6
32	лишь в	7	6
33	как бы	4	6
34	но в	4	6
35	или иного	5	5
36	в ее	2	5
37	как и	9	5
38	не в	15	5
39	в пределах	12	5
40	между ними	2	5
41	в самом	16	5
42	того или	4	5
43	в нем	13	5
44	как в	4	5
45	он не	6	5
46	уже не	7	5
47	тем самым	2	5
48	с другой	3	5
49	между тем	2	5
50	в искусстве	2	5
51	не столько	4	4
52	ни в	2	4
53	в своей	7	4
54	то что	6	4
55	отношение к	2	4
56	литературного произведения	3	4
57	по преимуществу	5	4
58	в их	6	4
59	приводит к	2	4
60	не может	14	4
61	в слове	5	4
62	сказать что	2	4
63	хотя и	3	4
64	и ее	6	4
65	говорить о	5	4
66	слова в	3	3
67	перед нами	2	3
68	и др	3	3
69	никогда не	2	3
70	в этих	2	3
71	со своей	2	3
72	этом смысле	2	3
73	прежде всего	15	3
74	художественного произведения	6	3
75	и к	4	3
76	а только	2	3
77	для него	7	3
78	того что	3	3
79	например в	3	3
80	в сторону	4	3
81	совпадает с	2	3
82	на почве	9	3
83	другой стороны	4	3
84	как раз	6	3
85	так в	3	3
86	входит в	4	3
87	таким образом	20	3
88	именно в	5	3
89	и по	2	3
90	или в	3	3
91	и то	2	3
92	потому что	2	3
93	в основе	5	3
94	речи и	3	3
95	между двумя	2	3
96	литературных произведений	2	3
97	в этой	6	3
98	его в	3	3
99	все эти	6	3
100	в художественном	2	3
101	если бы	5	2
102	была бы	3	2
103	к действительности	3	2
104	могут быть	6	2
105	в конце	2	2
106	это не	2	2
107	этих двух	2	2
108	на фоне	4	2
109	вовсе не	11	2
110	по себе	7	2
111	что он	5	2
112	совершенно иной	2	2
113	к тому	4	2
114	но как	2	2
115	и как	3	2
116	что они	4	2
117	говорит в	5	2
118	в большинстве	4	2
119	во втором	7	2
120	мы в	2	2
121	к его	2	2
122	слова как	2	2
123	в виду	2	2
124	даже в	2	2
125	и тем	2	2
126	к нему	3	2
127	в целом	3	2
128	во всех	5	2
129	вместе с	6	2
130	со стороны	2	2
131	а именно	2	2
132	здесь не	4	2
133	как к	3	2
134	и для	5	2
135	это и	5	2
136	в той	2	2
137	и о	2	2
138	с точки	7	2
139	и даже	4	2
140	во всей	2	2
141	и иных	2	2
142	роль в	3	2
143	их в	2	2
144	и здесь	3	2
145	без исключения	2	2
146	не следует	4	2
147	произведения искусства	2	2
148	и это	2	2
149	в чем	2	2
150	в которой	2	2
151	в области	3	2
152	это было	3	2
