N	2gram	Tiupa_Anal_3	Myshleni
1	то что	2	26
2	что он	4	25
3	в этом	14	25
4	таким образом	4	19
5	в том	9	18
6	не может	2	18
7	точки зрения	3	18
8	что в	9	16
9	и в	18	16
10	не только	22	16
11	том что	12	15
12	в сущности	5	13
13	сказать что	2	13
14	отношению к	7	12
15	по отношению	7	12
16	и не	12	12
17	в его	7	11
18	но не	7	10
19	было бы	3	10
20	а не	9	10
21	только в	2	10
22	может быть	9	9
23	с точки	2	9
24	о том	6	8
25	как это	3	8
26	как и	14	8
27	он не	6	8
28	то же	3	8
29	тем самым	4	8
30	в нем	2	7
31	того же	5	7
32	так и	14	7
33	по себе	4	7
34	представляет собой	5	7
35	приводит к	4	7
36	не в	6	6
37	в этой	6	6
38	но и	13	6
39	и на	4	6
40	могли бы	2	6
41	но в	2	6
42	состоит в	4	6
43	к тому	6	6
44	в той	2	6
45	мы можем	2	6
46	никогда не	5	5
47	в своем	4	5
48	что они	3	5
49	обе эти	2	5
50	для него	6	5
51	как бы	10	5
52	не является	5	5
53	этом отношении	3	5
54	в то	3	5
55	мере в	2	5
56	можно сказать	4	5
57	как в	3	5
58	тем что	2	5
59	ничего не	3	5
60	все эти	2	4
61	с другой	7	4
62	это не	2	4
63	сама по	2	4
64	в свою	5	4
65	в пределах	4	4
66	при этом	11	4
67	в самом	5	4
68	в целом	3	4
69	уже по	2	4
70	именно в	3	4
71	и по	2	4
72	что мы	2	4
73	в результате	5	4
74	в качестве	12	4
75	с их	3	4
76	еще не	6	4
77	как показывает	2	4
78	не есть	4	4
79	вместе с	2	4
80	той же	5	4
81	тому как	2	4
82	могут быть	2	4
83	подобно тому	3	4
84	и т.д	2	4
85	не менее	4	3
86	в частности	12	3
87	одного и	3	3
88	прежде всего	5	3
89	как уже	2	3
90	и как	4	3
91	самом деле	2	3
92	свою очередь	4	3
93	одной стороны	2	3
94	но как	3	3
95	если в	3	3
96	в их	6	3
97	еще и	3	3
98	с одной	2	3
99	а в	10	3
100	говорить о	3	3
101	по своей	2	3
102	в первом	2	3
103	между тем	5	3
104	мы не	3	3
105	к жизни	3	3
106	с тем	2	3
107	только не	3	3
108	с этим	3	3
109	в одном	4	3
110	к этому	3	3
111	все же	4	3
112	и того	3	3
113	это и	2	3
114	то в	2	3
115	по своему	2	3
116	что и	5	3
117	говорит о	2	3
118	на примере	2	3
119	в себя	2	3
120	и его	13	3
121	вопроса о	2	3
122	ответ на	3	3
123	столь же	4	2
124	и от	2	2
125	совершенно очевидно	2	2
126	очевидно что	2	2
127	тем или	2	2
128	по поводу	3	2
129	на его	2	2
130	в ней	2	2
131	совершенно не	2	2
132	в отличие	2	2
133	что она	2	2
134	все это	3	2
135	другой стороны	5	2
136	отношения к	2	2
137	те же	2	2
138	свое время	2	2
139	и даже	8	2
140	в момент	2	2
141	и здесь	2	2
142	но они	2	2
143	о чем	4	2
144	в них	2	2
145	в жизни	2	2
146	в случае	5	2
147	его в	3	2
148	есть не	2	2
149	не с	2	2
150	и к	4	2
151	нам кажется	2	2
152	же в	2	2
153	отличие от	2	2
154	во всем	3	2
155	указывает на	3	2
156	со всеми	2	2
157	или иным	2	2
158	во второй	7	2
159	в первой	8	2
160	когда он	2	2
161	в свое	2	2
162	и потому	2	2
163	только к	2	2
164	принадлежит к	4	2
165	во всех	2	2
166	тому же	3	2
167	но с	2	2
168	во всяком	2	2
