N	2gram	Voloshinov_1	Vladivir
1	и в	12	30
2	то что	5	20
3	в этом	4	20
4	в том	6	18
5	и не	10	18
6	и с	3	14
7	том что	5	12
8	что в	2	12
9	не только	4	12
10	в его	2	11
11	сказать что	7	11
12	и вообще	3	10
13	не в	4	9
14	для него	3	9
15	кроме того	2	9
16	все же	4	9
17	не может	16	9
18	в то	2	9
19	в своем	2	8
20	вместе с	2	8
21	но и	3	8
22	но в	5	8
23	не менее	3	7
24	никогда не	5	7
25	точки зрения	14	7
26	и все	2	7
27	ни в	3	7
28	до конца	2	7
29	может быть	14	7
30	для нас	7	7
31	а не	5	7
32	как это	2	7
33	к этому	2	6
34	прежде всего	8	6
35	и к	4	6
36	тем не	3	6
37	только в	6	6
38	в себе	3	6
39	жизни и	4	6
40	и его	13	6
41	и то	2	5
42	по себе	3	5
43	как и	5	5
44	при этом	6	5
45	но что	2	5
46	в своей	3	5
47	в основном	2	5
48	как бы	13	5
49	в котором	3	5
50	так и	4	5
51	все это	3	5
52	и что	2	5
53	того что	3	5
54	все эти	3	5
55	так как	9	5
56	с ним	3	5
57	из этого	3	5
58	с его	2	4
59	с этой	2	4
60	его в	4	4
61	можно сказать	5	4
62	конечно не	3	4
63	в ней	6	4
64	он не	2	4
65	в нем	6	4
66	не есть	2	4
67	в этих	2	4
68	то же	5	4
69	и наконец	3	4
70	так же	3	4
71	и на	4	4
72	но это	2	4
73	о том	3	4
74	здесь не	3	4
75	отношение к	4	4
76	уже в	2	3
77	в них	3	3
78	в отношении	2	3
79	хотя бы	5	3
80	едва ли	2	3
81	что и	2	3
82	да и	3	3
83	но не	2	3
84	в данном	2	3
85	и для	3	3
86	с точки	2	3
87	как в	5	3
88	таким образом	12	3
89	те же	2	3
90	уже не	4	3
91	и вполне	2	3
92	дело в	4	3
93	нет ничего	2	3
94	к нему	4	2
95	это не	2	2
96	тогда когда	2	2
97	на все	2	2
98	в настоящее	2	2
99	а к	2	2
100	но тем	2	2
101	настоящее время	2	2
102	она не	2	2
103	в самом	4	2
104	и потому	2	2
105	в виду	5	2
106	данном случае	2	2
107	как к	3	2
108	и притом	2	2
109	но все	2	2
110	что не	4	2
111	в чем	2	2
112	и по	3	2
113	к его	2	2
114	ничего не	2	2
115	мы не	3	2
