N	2gram	Medvedev_V_1	DiskursI
1	в себе	6	19
2	в качестве	11	16
3	и в	26	16
4	может быть	22	16
5	как и	7	16
6	в этом	26	16
7	и не	19	15
8	а не	7	14
9	в частности	11	12
10	но и	10	11
11	но в	2	11
12	том что	8	10
13	не только	25	10
14	так и	5	9
15	не может	17	9
16	в том	15	8
17	не менее	2	7
18	прежде всего	13	7
19	в нем	6	7
20	но не	2	7
21	при всей	2	7
22	с его	3	6
23	отнюдь не	3	6
24	еще не	2	6
25	все же	5	6
26	в своей	4	6
27	то же	10	6
28	в своих	2	6
29	в противоположность	3	5
30	что в	10	5
31	в своем	8	5
32	с другой	11	5
33	же время	5	5
34	для него	8	5
35	то что	6	5
36	в то	6	5
37	в одном	4	4
38	к этому	9	4
39	к его	2	4
40	в пределах	5	4
41	одной стороны	2	4
42	как бы	5	4
43	отношению к	7	4
44	по отношению	7	4
45	этом отношении	13	4
46	с одной	2	4
47	человека в	2	4
48	роль в	4	4
49	точки зрения	3	4
50	в этой	4	4
51	о том	10	4
52	мира и	3	4
53	не является	5	4
54	перед нами	4	3
55	и может	2	3
56	могут быть	5	3
57	в них	4	3
58	это не	7	3
59	не столько	2	3
60	из этих	7	3
61	было в	2	3
62	или иной	2	3
63	и как	3	3
64	не в	6	3
65	можно сказать	4	3
66	мысль о	2	3
67	например в	3	3
68	он не	2	3
69	в его	14	3
70	в котором	3	3
71	из них	9	3
72	жизни и	3	3
73	и ее	4	3
74	приводит к	5	3
75	не было	7	3
76	все эти	6	3
77	и наконец	2	3
78	также и	2	3
79	как на	3	3
80	и его	6	3
81	в другом	2	3
82	только в	7	3
83	не следует	8	3
84	его в	3	3
85	в творчестве	3	3
86	одном из	3	3
87	что ни	2	2
88	же как	2	2
89	по словам	8	2
90	никогда не	4	2
91	не подлежит	2	2
92	у пушкина	2	2
93	в целом	4	2
94	момент в	3	2
95	стороны и	2	2
96	что он	4	2
97	не столь	3	2
98	является не	4	2
99	о чем	2	2
100	со своим	2	2
101	персонажей и	2	2
102	в ней	2	2
103	далеко не	2	2
104	что и	3	2
105	вместе с	7	2
106	именно в	2	2
107	который по	2	2
108	сводится к	3	2
109	все это	10	2
110	другой стороны	8	2
111	и для	2	2
112	должно быть	2	2
113	а в	3	2
114	тому как	2	2
115	в результате	5	2
116	их в	6	2
117	пока еще	2	2
118	не о	2	2
119	подобно тому	2	2
120	говорить о	2	2
121	в области	2	2
122	говорит об	2	2
123	мы имеем	3	2
124	между тем	5	2
125	произведения как	5	2
