N	2gram	Losev_Dial_2	PoTuStor
1	может быть	20	17
2	и в	19	16
3	и пр	5	12
4	прежде всего	8	9
5	таким образом	4	9
6	в этом	8	9
7	и только	4	9
8	совершенно не	7	8
9	и его	5	8
10	и с	5	8
11	точки зрения	12	8
12	не может	9	8
13	сказать что	10	7
14	не только	19	7
15	и это	5	6
16	и к	7	6
17	с точки	8	6
18	самом деле	4	6
19	при этом	4	6
20	конечно не	6	6
21	я и	2	6
22	все эти	2	5
23	что такое	3	5
24	в чем	3	5
25	ни в	10	5
26	нуждается в	3	5
27	еще не	4	5
28	как бы	14	5
29	с самого	2	4
30	самого начала	2	4
31	в нем	10	4
32	и их	3	4
33	отнюдь не	6	4
34	но и	12	4
35	так и	10	4
36	все это	4	4
37	хотя бы	4	4
38	и все	12	4
39	так как	14	4
40	и не	30	4
41	на самом	2	4
42	а потому	2	4
43	как мы	3	4
44	но мы	2	4
45	можно сказать	5	4
46	и даже	14	4
47	с ними	2	4
48	в этой	3	4
49	с ее	2	4
50	и может	6	4
51	только в	5	4
52	в один	3	4
53	его в	3	4
54	но в	2	4
55	во время	2	3
56	в этих	3	3
57	что в	7	3
58	жизни и	6	3
59	и есть	4	3
60	во всех	2	3
61	могут быть	4	3
62	вместе с	2	3
63	сих пор	2	3
64	в одном	4	3
65	и вот	4	3
66	и она	2	3
67	и притом	7	3
68	крайней мере	9	3
69	в том	14	3
70	а в	4	3
71	том что	10	3
72	и как	10	3
73	то что	14	3
74	их в	2	3
75	на этом	2	3
76	реальности и	2	3
77	по крайней	9	3
78	только как	3	3
79	в общем	2	3
80	как это	7	3
81	в области	2	3
82	во всяком	2	3
83	и потому	5	3
84	до сих	2	3
85	всяком случае	2	3
86	не менее	3	2
87	ее в	2	2
88	может иметь	3	2
89	не могут	4	2
90	что и	5	2
91	не нуждается	4	2
92	не есть	47	2
93	в душе	7	2
94	же как	3	2
95	не будет	2	2
96	сознания и	5	2
97	как не	2	2
98	в частности	2	2
99	никогда не	9	2
100	что не	6	2
101	если мы	2	2
102	с этим	3	2
103	в жизни	2	2
104	то же	12	2
105	с нею	3	2
106	что оно	4	2
107	только и	2	2
108	что он	6	2
109	в одно	5	2
110	что на	2	2
111	что мы	2	2
112	в науке	2	2
113	и по	4	2
114	как и	10	2
115	они не	3	2
116	мы видим	2	2
117	так же	2	2
118	но это	7	2
119	в глубину	3	2
120	и образы	2	2
121	есть в	2	2
122	мы уже	8	2
123	по своему	5	2
124	не на	2	2
125	он не	4	2
126	и говорить	2	2
127	есть и	6	2
128	между собою	3	2
129	в каком	4	2
130	момент в	2	2
131	говорить о	5	2
132	и вообще	6	2
133	было бы	3	2
134	что это	10	2
135	и мы	3	2
136	но ведь	2	2
137	о том	5	2
138	в самом	5	2
139	но как	5	2
140	за пределы	4	2
141	в своей	8	2
142	только то	4	2
143	с ним	4	2
