N	2gram	Vygotskiy__4	Sovremen
1	не может	6	17
2	точки зрения	24	12
3	может быть	12	12
4	таким образом	25	11
5	в каждом	2	8
6	в этом	24	7
7	и в	20	7
8	и не	8	6
9	как и	9	6
10	в результате	8	6
11	мы можем	5	6
12	прежде всего	2	5
13	все эти	5	5
14	с точки	11	5
15	в условиях	3	5
16	как бы	7	4
17	в развитии	25	4
18	мы видели	6	4
19	если мы	10	4
20	в целом	11	4
21	вместе с	8	4
22	это не	5	4
23	а в	2	4
24	не только	15	4
25	с помощью	31	4
26	в том	42	4
27	их в	2	4
28	из них	4	4
29	мы должны	11	4
30	зависимости от	2	4
31	так как	10	4
32	уже в	6	3
33	все же	5	3
34	видели что	2	3
35	отнюдь не	3	3
36	между собой	5	3
37	может не	2	3
38	отличается от	2	3
39	не подлежит	3	3
40	мы называем	2	3
41	в наших	2	3
42	то же	16	3
43	ясно что	2	3
44	в нем	2	3
45	а не	7	3
46	и к	5	3
47	для нас	4	3
48	когда мы	2	3
49	не в	4	3
50	в этой	3	3
51	еще не	2	3
52	ли мы	2	3
53	при этом	12	3
54	было бы	8	3
55	и т.д	2	3
56	как он	4	3
57	в себе	10	3
58	следующим образом	3	3
59	в области	4	3
60	но в	3	3
61	совершенно не	3	2
62	в настоящее	2	2
63	не могут	3	2
64	что это	2	2
65	не менее	3	2
66	в виде	3	2
67	у него	2	2
68	в нашем	4	2
69	на котором	2	2
70	приводит к	3	2
71	и во	3	2
72	в отличие	2	2
73	из этих	2	2
74	тем же	4	2
75	что все	3	2
76	с одной	9	2
77	как мы	13	2
78	для развития	2	2
79	развития в	6	2
80	в свою	2	2
81	самом деле	7	2
82	и что	8	2
83	роль в	4	2
84	что при	2	2
85	что такое	5	2
86	на этот	3	2
87	той же	6	2
88	мы видим	10	2
89	в таком	2	2
90	такой же	2	2
91	во всяком	4	2
92	свою очередь	2	2
93	на этом	3	2
94	могут быть	7	2
95	с этим	5	2
96	как известно	3	2
97	что в	19	2
98	настоящее время	2	2
99	с другом	7	2
100	тот же	9	2
101	со всеми	3	2
102	же самое	7	2
103	в один	3	2
104	на его	3	2
105	такого рода	6	2
106	по мнению	2	2
107	в самом	6	2
108	друг с	7	2
109	в которой	3	2
110	отличие от	2	2
111	в его	11	2
112	всяком случае	3	2
