N	3gram	Losev_Dial_2	Myshleni
1	с точки зрения	8	18
2	в том что	6	15
3	с другой стороны	4	9
4	с самого начала	2	8
5	о том что	4	6
6	в то время	3	5
7	не может быть	3	5
8	можно сказать что	3	4
9	до сих пор	2	4
10	то время как	3	4
11	сам по себе	3	3
12	то же самое	2	3
13	во всяком случае	2	3
14	не в состоянии	2	2
15	в данном случае	2	2
16	в зависимости от	2	2
17	в самом деле	3	2
18	одно и то	4	2
19	в то же	3	2
20	то же время	4	2
21	ни в какой	2	2
22	и в частности	2	2
23	и то же	4	2
24	только тогда когда	4	2
25	от того что	2	2
