N	2gram	Tiupa_Hudo_1	Mirosoze
1	и в	19	46
2	в нем	5	22
3	может быть	14	21
4	в этом	11	20
5	никогда не	2	18
6	для него	4	18
7	и не	15	18
8	не только	16	18
9	но и	10	15
10	не может	7	15
11	как и	2	13
12	а не	9	13
13	прежде всего	4	12
14	потому что	3	12
15	но он	3	11
16	но в	7	10
17	он не	4	10
18	в себе	9	10
19	не в	7	9
20	не знает	3	9
21	человека к	3	8
22	как бы	9	8
23	в своем	2	8
24	отношение к	5	8
25	в мире	21	7
26	в этой	2	7
27	в нашем	2	7
28	что он	3	7
29	и к	3	7
30	и потому	2	7
31	как в	2	7
32	и для	2	7
33	так же	2	6
34	того что	4	6
35	в русской	3	6
36	то же	10	5
37	я не	2	5
38	в отношении	3	5
39	в самом	5	5
40	один из	2	5
41	что она	2	5
42	это не	2	5
43	тот кто	2	5
44	к тому	4	5
45	по преимуществу	2	5
46	то что	4	5
47	в своей	5	5
48	для того	2	5
49	и его	12	5
50	в его	9	5
51	и это	2	5
52	что в	6	4
53	тому что	2	4
54	с его	6	4
55	в жизни	2	4
56	в свою	3	4
57	том что	8	4
58	что и	2	4
59	себя в	7	4
60	так и	11	4
61	уже не	4	4
62	того чтобы	2	4
63	на деле	3	4
64	себя и	2	3
65	ни в	5	3
66	в том	18	3
67	с самим	2	3
68	жизни в	2	3
69	и на	2	3
70	сказать что	4	3
71	по своей	7	3
72	о том	2	3
73	его в	2	3
74	с ним	2	3
75	к которому	4	3
76	если бы	3	3
77	в них	2	3
78	на почве	3	3
79	не будет	2	3
80	только в	5	3
81	отношении к	2	3
82	есть в	2	3
83	в чем	2	3
84	место в	4	2
85	способность к	2	2
86	в этих	3	2
87	или иной	7	2
88	я и	7	2
89	такого рода	10	2
90	хотя и	3	2
91	к нему	3	2
92	но она	2	2
93	по отношению	9	2
94	как к	2	2
95	отношения к	2	2
96	лишь в	4	2
97	а в	12	2
98	в основе	4	2
99	личности и	3	2
100	точки зрения	10	2
101	самим собою	2	2
102	другим и	2	2
103	не случайно	3	2
104	между тем	4	2
105	превращается в	2	2
106	личности в	4	2
107	по себе	2	2
108	анны карениной	2	2
109	то в	2	2
110	и что	3	2
111	личности к	2	2
112	во всех	3	2
113	отношению к	9	2
114	принадлежит к	3	2
115	быть и	2	2
116	ее в	2	2
117	человеческой жизни	2	2
118	говорит что	2	2
119	в которой	2	2
