N	2gram	Trubetskoy_1	Vladivir
1	и в	23	31
2	не только	7	24
3	а к	2	22
4	но и	9	19
5	то что	18	18
6	и не	8	17
7	у него	5	15
8	том что	19	14
9	что в	8	14
10	в этом	12	14
11	и с	5	14
12	что он	7	12
13	в его	5	12
14	но в	4	12
15	в том	30	11
16	между прочим	2	11
17	потому что	9	11
18	о том	7	11
19	так что	5	10
20	и то	4	10
21	также и	2	10
22	он не	3	10
23	никогда не	4	9
24	как мы	2	9
25	а в	3	9
26	в течение	4	9
27	только в	6	9
28	в конце	4	9
29	в дальнейшем	2	8
30	и по	3	8
31	в то	6	8
32	так как	7	8
33	для него	2	7
34	в эти	3	7
35	мы уже	4	7
36	к этому	5	6
37	и к	5	6
38	у нас	3	6
39	того же	9	6
40	и потому	3	6
41	и сам	2	6
42	может быть	16	6
43	не без	2	6
44	в котором	2	6
45	так и	10	6
46	не может	17	6
47	то же	4	6
48	и что	8	6
49	а с	4	5
50	не очень	2	5
51	все это	11	5
52	вовсе не	2	5
53	на то	9	5
54	не в	8	5
55	но как	2	5
56	и если	6	5
57	и от	5	5
58	что и	7	5
59	жизни и	2	5
60	что же	2	5
61	не было	2	5
62	в своих	2	5
63	с ним	6	5
64	я не	2	4
65	же время	2	4
66	в своем	10	4
67	что у	2	4
68	же касается	2	4
69	и все	7	4
70	в нем	3	4
71	для нас	3	4
72	в себе	5	4
73	что его	4	4
74	и вообще	3	4
75	как и	9	4
76	мы и	2	4
77	в этой	6	4
78	по своей	7	4
79	хотя и	4	4
80	и особенно	2	4
81	в нашем	3	4
82	в истории	3	4
83	и у	4	4
84	что для	4	4
85	несмотря на	6	4
86	во всем	3	4
87	к нему	2	4
88	в которой	5	4
89	для меня	4	4
90	в общем	6	3
91	но на	2	3
92	к тому	8	3
93	в виде	4	3
94	отнюдь не	2	3
95	с другой	6	3
96	и так	2	3
97	в жизни	3	3
98	со своими	2	3
99	но не	2	3
100	что они	2	3
101	более или	7	3
102	по своему	5	3
103	тот же	3	3
104	и из	2	3
105	конце концов	4	3
106	все же	13	3
107	в целом	5	3
108	отношение к	4	3
109	вместе с	6	3
110	на него	2	3
111	или менее	7	3
112	другой стороны	5	3
113	в связи	3	3
114	таким образом	31	3
115	все эти	19	3
116	о которой	2	3
117	в в	4	3
118	жизнь и	3	3
119	и на	6	3
120	с в	3	3
121	что касается	6	3
122	в начале	2	3
123	это конечно	2	3
124	то есть	2	3
125	мы будем	3	2
126	с тем	2	2
127	уже и	3	2
128	не менее	7	2
129	в частности	2	2
130	по этому	2	2
131	но даже	3	2
132	от нее	2	2
133	в них	2	2
134	хотя бы	4	2
135	по существу	6	2
136	что все	5	2
137	на все	5	2
138	образом в	3	2
139	ясно что	8	2
140	в тех	3	2
141	этого последнего	2	2
142	на первый	2	2
143	тем не	4	2
144	мы знаем	10	2
145	очень мало	2	2
146	тому же	6	2
147	которой мы	2	2
148	тем более	3	2
149	от него	3	2
150	на этом	2	2
151	все что	9	2
152	то время	2	2
153	что с	5	2
154	в англию	2	2
155	еще не	5	2
156	при этом	9	2
157	того что	6	2
158	было бы	3	2
159	совершенно не	3	2
160	в самом	8	2
161	конечно не	3	2
162	том чтобы	2	2
163	одним из	4	2
164	которую он	2	2
165	всяком случае	2	2
166	даже в	3	2
167	для себя	2	2
168	и до	3	2
169	из них	5	2
170	него в	2	2
171	выше мы	4	2
172	из этого	6	2
173	только что	3	2
174	то и	2	2
175	как к	5	2
176	и для	6	2
177	и других	2	2
178	и сейчас	4	2
179	этой области	4	2
180	лишь в	5	2
181	тем самым	3	2
182	того чтобы	8	2
183	для того	8	2
184	что мы	4	2
185	по его	2	2
186	как на	4	2
187	раннем детстве	2	2
188	с ними	2	2
189	в результате	9	2
190	во всяком	2	2
191	знаем что	8	2
192	точки зрения	13	2
193	из этих	8	2
194	о котором	7	2
195	мы должны	4	2
196	и это	3	2
197	тех же	2	2
198	а это	2	2
