N	2gram	Ircho_Kome_3	Psycholo
1	в том	12	37
2	и в	22	32
3	и что	6	22
4	том что	13	21
5	то что	4	21
6	таким образом	12	21
7	потому что	10	21
8	что в	5	20
9	так же	4	18
10	может быть	6	18
11	что и	8	17
12	не может	3	17
13	точки зрения	4	17
14	что она	4	16
15	самом деле	6	16
16	того чтобы	6	14
17	что он	8	13
18	при этом	7	13
19	то же	7	13
20	для того	6	13
21	в этом	8	13
22	если мы	2	12
23	в самом	9	12
24	не только	5	12
25	так как	11	12
26	на то	3	11
27	с тем	4	11
28	было бы	3	11
29	в основе	2	11
30	как и	3	10
31	и т	4	10
32	когда он	4	10
33	но и	4	10
34	и не	21	10
35	с точки	3	10
36	никогда не	3	9
37	как в	2	9
38	в своих	2	9
39	тем что	5	9
40	не менее	5	8
41	не в	4	8
42	дело с	3	8
43	т п	4	8
44	к тому	6	7
45	ясно что	6	7
46	мы знаем	2	7
47	а не	4	7
48	в сущности	2	7
49	можно было	2	7
50	и его	6	7
51	что для	2	7
52	что они	2	7
53	все время	2	6
54	в этой	3	6
55	тот же	2	6
56	и мы	3	6
57	он не	5	6
58	как бы	3	6
59	целый ряд	2	6
60	же самое	3	6
61	о том	8	6
62	если бы	8	6
63	отнюдь не	4	5
64	что его	5	5
65	он говорит	2	5
66	в ней	4	5
67	далеко не	3	5
68	до сих	9	5
69	сих пор	9	5
70	все это	5	5
71	как раз	6	5
72	этом отношении	2	5
73	и даже	3	5
74	и на	2	5
75	в то	6	5
76	столь же	3	4
77	от того	2	4
78	едва ли	7	4
79	с этой	3	4
80	тем не	3	4
81	как это	5	4
82	а на	2	4
83	и сам	5	4
84	несмотря на	4	4
85	из этого	2	4
86	совершенно не	2	4
87	в нем	3	4
88	все же	4	4
89	из них	5	4
90	наряду с	2	4
91	а в	7	4
92	и все	2	4
93	не имеет	3	4
94	и для	4	4
95	тому что	2	4
96	и с	4	4
97	с этим	3	4
98	в целом	3	4
99	если же	2	4
100	и это	2	4
101	ничего не	3	4
102	и поэтому	4	4
103	между тем	2	4
104	по своему	3	3
105	не могут	2	3
106	состоит в	2	3
107	в частности	3	3
108	конечном счете	2	3
109	хотя бы	4	3
110	с другой	4	3
111	не как	2	3
112	само собой	4	3
113	в конце	7	3
114	представление о	2	3
115	и к	3	3
116	по существу	2	3
117	об этом	7	3
118	так что	6	3
119	до конца	4	3
120	в свою	7	3
121	что с	2	3
122	только как	2	3
123	в своей	5	3
124	на это	3	3
125	конце концов	2	3
126	один из	3	3
127	то это	5	3
128	так и	4	3
129	во всех	2	3
130	и ее	2	3
131	в их	2	3
132	в отношении	4	3
133	время как	2	3
134	что не	3	3
135	в конечном	2	3
136	и он	2	3
137	при всем	2	3
138	отказаться от	2	3
139	то время	2	3
140	в которых	5	3
141	но в	5	3
142	мы не	2	3
143	в виду	2	3
144	мы можем	3	3
145	на вопрос	2	2
146	с его	3	2
147	выходит из	2	2
148	больше того	2	2
149	в них	3	2
150	все что	3	2
151	сравнению с	2	2
152	то ни	3	2
153	в какой	3	2
154	это не	2	2
155	из всех	2	2
156	с другими	2	2
157	в одном	2	2
158	именно потому	2	2
159	это в	2	2
160	во всяком	3	2
161	и здесь	4	2
162	ни в	10	2
163	меньше всего	4	2
164	такое же	2	2
165	же время	5	2
166	тем более	4	2
167	вывод что	2	2
168	его от	2	2
169	свою очередь	6	2
170	еще не	6	2
171	в глаза	3	2
172	того же	6	2
173	чем к	2	2
174	по сравнению	2	2
175	она не	2	2
176	и тот	3	2
177	из которых	2	2
178	вовсе не	4	2
179	на его	2	2
180	должен был	4	2
181	к нему	5	2
182	к ним	3	2
183	в его	8	2
184	из себя	3	2
185	всяком случае	3	2
186	в ее	3	2
187	том как	3	2
188	не так	3	2
189	как он	3	2
190	бы то	2	2
191	отношение к	5	2
192	вместе с	9	2
193	на него	4	2
194	и без	2	2
195	вплоть до	2	2
196	бы не	2	2
197	другой стороны	2	2
198	не было	2	2
199	роль в	2	2
200	из того	3	2
201	к своему	2	2
202	на этот	3	2
203	которой мы	2	2
204	в других	3	2
205	у того	3	2
206	отличие от	2	2
207	в таком	2	2
208	их в	3	2
209	в себе	4	2
210	в свое	2	2
211	в которой	3	2
